标题,室数,厅数,卫数,面积,朝向,建造时间,小区,行政区,街道,门牌号,单价,总价,楼层所属区域
新上 武汉天地优质笋房 多层 通透 不临街不临桥  随时看,3,2,2,133.94,南北,2010,武汉天地御江苑,江岸,永清街,永安路6号,49372,661,高层
正南 2室2厅 精装修,2,2,1,85.3,南,2016,福星华府(东区),江汉,杨汊湖,新湾路23号,14536,124,高层
急售，急售，降价20万毛坯朝南三房，楼层好，采光好，看房方便,3,2,1,98.92,南北,2022,中建星光城(二期),洪山,九峰山森林公园,光谷三路59号,14456,143,中层
地铁口，三房二卫，诚心急售，证满无贷，有钥匙,3,2,2,104.65,南,2016,平安光谷春天,江夏,金融港,高新六路15号,17220,180,高层
金银湖湿地公园旁 毛坯一线湖景 满五   6号线地铁900米,3,2,2,117.37,南北,2019,金湖听语,东西湖,金银湖,南一街2号,12818,150,高层
97平 电梯房 满二 精装修 美联(四期) 居家自住保养好,3,2,1,97.6,南,2015,美联奥林匹克花园(四期),东西湖,常青花园,奥园西路3号,13433,131,中层
满二  住房 毛坯房，房东诚心卖，看中可以谈,2,2,1,77.56,南北,2018,东建金海湾,东西湖,吴家山,金北一路59号,7461,58,高层
房东诚心出售，中间楼层，前后阳台看花园，随时看房,3,2,2,118.48,南,2022,百步亭和谐里,江岸,后湖,和谐大道555号,14791,175,中层
98平 满二  住房 南北通透 电梯房 看房方便 有钥匙,3,2,1,98.61,南北,2016,汉北大全景,黄陂,武湖,汉口北大道,6639,65,中层
房源采光好，南北通透，业主诚意出,3,2,1,92.36,南,2018,绿地悦澜湾,汉阳,四新,四新北路601号,13425,124,低层
新上好房 房东急售价格美丽 随时可看,2,2,1,90.14,南,2016,南国明珠(四期),汉阳,王家湾,龙阳大道95号,13664,123,中层
万科翡翠滨江 二桥本区 有钥匙，产权清晰,3,2,2,118.31,南北,2020,万科新世纪翡翠滨江(二期),汉阳,王家湾,琴台大道,15930,188,高层
满二   正南 2室2厅 精装修,2,2,1,87.06,南,2015,光谷自由城,洪山,光谷软件园,水蓝路11号,13008,113,高层
正南 3室2厅 精装修,3,2,2,107.24,南,2017,中国铁建梧桐苑,江夏,金融港,民族大道324号,17343,186,高层
新城璟棠 南北通透 3房 业主一天没住过全新房 看房方便,3,2,2,108.6,南北,2020,新城璟棠,汉阳,四新,四新中路,14081,153,低层
正南 3室2厅 企业力荐好房诚意出售,3,2,2,137.83,南,2020,保利江锦,武昌,徐东,临江大道,24349,336,中层
光谷东 花山 万科紫悦湾 精装 满五  三房二厅,3,2,1,88.77,南北,2017,万科紫悦湾,洪山,光谷东,严西湖路8号,12292,109,中层
电梯房 满二 紫轩美佳 2室2厅 精装修 91平 看房方便,2,2,1,91.21,南北,2012,紫轩美佳,江岸,后湖,正义路24号,14047,128,低层
保利香颂精致三房，二桥芳草一步到位，老证少税可看房，随时可看,3,2,2,110.43,南北,2019,保利香颂,汉阳,升官渡,四新大道,14597,161,高层
江城明珠 2室2厅 电梯房 87平 房东急置换 诚意买房,2,2,1,87.83,南北,2014,江城明珠,汉阳,四新,四新南路,9882,87,高层
保利城精准小三房 186万 满五唯一 高视野 看房有钥匙,3,2,1,94.77,南,2016,保利城一期,洪山,铁机路,团结大道1049号,16224,154,中层
满二 人信汇天誉 3室2厅 86平 电梯房 房东急置换 诚意,3,2,1,86.7,南北,2018,人信汇天誉,汉阳,王家湾,龙阳大道62号,15064,131,中层
正南 3室2厅 精装修,3,2,2,80.16,南,2015,香奈天鹅湖,黄陂,盘龙城,巨龙大道46号,6394,51,高层
广电江湾新城(南区) 南北通透 100平 满二 采光好 周边,3,2,2,100.12,南北,2011,广电江湾新城(南区),硚口,古田,古田路68号,14036,141,高层
3室1厅 地铁鑫城 电梯房 采光好 周边商圈成熟,3,1,1,88,西南,2016,地铁鑫城,江岸,二七路,解放大道2007号,16157,142,低层
7号线地铁口巡司河湿地公园旁东原晴天见毛坯三房业主诚心出售,3,2,1,86.73,南北,2016,东原晴天见,洪山,新南湖,南湖小路28号,13915,121,中层
房东直降10万。现在155万 ，王家湾中央商圈,3,2,1,106.9,南北,2018,王家湾中央生活区,汉阳,王家湾,汉阳大道,12759,136,高层
下楼就是六号线，对应黄狮海学校。曾经的地王，房东血亏大跳水,3,2,1,104.23,南北,2020,融创观澜府,东西湖,吴家山,云海路1号,12689,132,中层
王家湾摩尔城边 3，4号线双地铁 老证3室税费少 看房有钥匙,3,2,2,128.77,南北,2017,王家湾中央生活区,汉阳,王家湾,汉阳大道,13481,174,中层
满五   正南 2室2厅 精装修,2,2,1,92.75,南,2011,F、阳光城,黄陂,盘龙城,巨龙大道特8号,7130,66,高层
天汇龙城龙湖苑 南北通透   诚心出售 价格可谈,3,2,2,114.61,南北,2019,天汇龙城龙湖苑,黄陂,盘龙城,腾龙大道,6563,75,高层
77平 保利新武昌 精装修 2室2厅 看房方便,2,2,1,77.41,南北,2018,保利新武昌,洪山,白沙洲,张家湾路8号,15484,120,中层
电梯房 4室2厅 119平 广电兰亭盛荟(四期) 居家自住,4,2,2,119,东南,2021,广电兰亭盛荟(四期),汉阳,四新,四新大道163号,12851,153,中层
106平 南北通透 王家湾中央生活区 电梯房 满二 3室2厅,3,2,1,106.7,南北,2015,王家湾中央生活区,汉阳,王家湾,汉阳大道,12396,132,中层
精装修 满二 电梯房 3室2厅 居家自住 保养好,3,2,1,92.93,南北,2015,万科汉阳国际C区,汉阳,王家湾,康达街,13521,126,低层
仁和路地铁旁   金地自在城   临东湖  三室带阳光房,3,2,1,88.97,南,2015,金地自在城(东区K3),洪山,欢乐谷,丰园路5号,17188,153,中层
天地盛荟无任何后期费用！上长春街本校一线看江,2,2,1,96.56,南,2017,武汉天地盛荟,江岸,二七路,永和路8号,49651,479,低层
古田二路 凯德广场 红星佳苑 通透三房 超值户型 随时看房,3,2,1,118.87,南北,2018,红星佳苑,硚口,古田,古田路16号,10223,122,中层
正南 3室2厅 企业力荐好房诚意出售,3,2,1,123.33,南,1997,卓刀泉教师小区,洪山,卓刀泉,卓刀泉路99号,13271,164,高层
急售！满二！一线湖景精装修刚需三房室好楼层，采光无任何遮挡！,3,2,1,89.8,南北,2016,保利清能西海岸(北区),江夏,藏龙岛,杨桥湖大道22号,10586,95,高层
汉口北地铁旁 一线湖景 电梯房 出门就是  总价50万,2,2,1,90.16,南,2020,湖景佳园,黄陂,汉口北,解放大道,4584,41,中层
南北通透 2室2厅 精装修,2,2,1,68.9,南北,2008,江南春城(还建区),青山,和平大道,建设三路11号,15717,108,高层
居家装修 湘龙鑫城精装三房 南北通透 家具家电全送 随时看房,3,2,2,129.45,南北,2012,湘龙鑫城,洪山,白沙洲,白沙洲大道,7663,99,低层
正南 3室2厅 精装修,3,2,2,114.25,南,2019,融创融公馆(二期),江岸,后湖,青松路259号,15194,174,低层
正南 3室2厅 精装修,3,2,2,106.6,南,2022,光谷南山府,江夏,东湖高新,"神墩一路,近高科园路",17835,190,高层
六合新界小高层 精装三房 户型方正 南北通透 双阳台 好楼层,3,2,2,112.48,南北,2014,六合新界,江岸,三阳路,胜利街315号,27926,314,中层
七里庙地铁口，纽宾凯公园里高端小区，精装三房，马上老证急卖,3,2,2,107.55,南北,2019,纽宾凯公园里,汉阳,王家湾,赫山路,13604,146,低层
急售 中建品质  好楼层 三开间朝南 大阳台可看小区花园,3,2,2,113.15,南,2022,中建星光城(二期),洪山,九峰山森林公园,光谷三路59号,15692,177,低层
朝南 精装修 电梯房 95平 美好长江首玺K3地块 楼层好,3,2,2,95.08,南,2019,美好长江首玺K3地块,洪山,白沙洲,丽水路6号,10433,99,中层
万科紫悦湾 精致南北通透小三房 次新房未入住 随时看房,3,2,1,93,南,2017,万科紫悦湾,洪山,光谷东,严西湖路8号,13511,126,低层
满五唯一 精装带暖气 业主出国 急售 看房有钥匙,3,2,2,151.3,南北,2009,香利国庭,江岸,后湖,兴业路161号,13058,198,高层
一小，一初旁，德雅国际城毛坯3房，房东诚意出,3,2,2,112.29,南北,2020,德雅国际城大唐世家,新洲,阳逻开发区,环湖路,5963,67,低层
和昌都汇华府 116平，精装房 地铁口 满五,3,2,2,116.53,南北,2016,和昌都汇华府,汉阳,四新,江城大道368号,10641,124,高层
武湖长江新区高车地铁口汉北大全景精装三房 即买即住 随时看房,3,2,1,92.85,南北,2014,汉北大全景,黄陂,武湖,汉口北大道,6944,64,高层
纽宾凯公园里  4房  老证  双地铁口  精装修,4,2,2,142.99,南北,2019,纽宾凯公园里,汉阳,王家湾,赫山路,14742,211,高层
保利中央公馆 电梯三房 97平189万 诚心可谈 满五,3,2,1,97.17,南,2015,保利中央公馆(G1-G16栋),洪山,新南湖,丁字桥南路558号,16078,156,低层
二七滨江，通透板房，电梯入户，产权清晰，二七城市广场,3,2,2,117,南北,2017,城开二七城市广场,江岸,二七路,连城中路663号,10732,125,高层
光谷青年城朝南100平好户型总价低随时看房,2,1,1,98.87,南北,2015,光谷青年城(一期),洪山,关山,新竹路5号,8528,84,中层
（真）保利新武昌 地铁口  边户精装三房,3,2,1,127.31,南北,2018,保利新武昌,洪山,白沙洲,张家湾路8号,14025,179,高层
一线江景房 毛坯两房，老证,3,2,1,91.22,南,2006,世茂锦绣长江5期,汉阳,钟家村,滨江大道193号,18124,165,高层
满二   正南 2室2厅 精装修,2,2,1,77.72,南,2017,金地自在城(西区K2),洪山,欢乐谷,丰园路8号,16379,127,低层
正南 2室2厅 精装修,2,2,1,82.18,南,2013,万景橘苑二期,江汉,汉口火车站,新湾五路,13881,114,高层
南北通透 保利香颂 精装修 电梯房 106平 看房方便 有钥,3,2,2,106.12,南北,2018,保利香颂,汉阳,升官渡,四新大道,15190,161,低层
118平 汉口春天 满二 电梯房 古田三路轻轨旁 采光好,3,2,1,118.36,南北,2007,汉口春天,硚口,古田,解放大道109号,11733,139,高层
"对应西大街  ,晴川  ，鹦鹉花园1室，有私家院子的房子",1,1,1,61.09,南北,2008,鹦鹉花园,汉阳,鹦鹉,拦江路193号,16644,102,低层
全屋高订 精装3改2 主卧带衣帽间 可开发商更名 无需交税,2,2,1,92,南,2019,东湖雅庭,洪山,欢乐谷,仁和路,12579,116,高层
紫轩时代广场  精装两房 63万 证满 随时看房 视野开阔,2,2,1,92.69,南北,2018,紫轩时代广场,黄陂,武湖,汉施路,5618,52,中层
南北通透 3室2厅 精装修,3,2,1,93.11,南北,2015,星悦城(四期),江岸,后湖,春兰街66号,14204,132,高层
保利香颂一期 3室2厅2卫 南北通透 户型正气 看房有钥匙,3,2,2,93.77,南北,2019,保利香颂,汉阳,升官渡,四新大道,14546,136,中层
房源！  维护！谈签找我佣金可少烽云边户已做三房价格满二,3,2,1,89.52,南北,2017,烽云慧城,洪山,光谷东,佛祖岭东街1号,13205,118,中层
朝南次新房  106平 福星惠誉汉阳城云顶 看房方便 有钥匙,3,2,1,105.74,南,2020,福星惠誉汉阳城云顶,汉阳,钟家村,拦江路188号,16026,169,中层
正地铁口五十米 南北通透大四房 采光好超正户型近,4,2,2,136.57,南北,2006,沿海丽水佳园,东西湖,金银湖,马池路特1号,7990,109,低层
万科城四期精装修，朝南大2房老证，中间楼层养护好,2,2,1,90.74,北,2014,万科城,江汉,常青,常青路167号,15031,136,中层
谷尚居 电梯房 79平 2室2厅 诚心出售 价格可议,2,2,1,79.36,南,2009,谷尚居,江夏,金融港,高新四路8号,13541,107,高层
必看好房香颂三期全屋精装带地暖双卫阳台已封即将满二....,3,2,2,106.49,南北,2020,保利香颂,汉阳,升官渡,四新大道,14749,157,低层
南湖大道八号线省农科院站旁三房两厅业主诚心出售价格为可谈,3,2,2,138.14,南北,2013,芷岸龙庭,洪山,新南湖,南湖大道48号,11370,157,低层
中建福地星城 正规3房 边户  采光好 通透户型 个税 毛坯,3,2,1,87.26,南,2016,中建福地星城,洪山,珞狮南路,珞狮南路268号,17052,149,高层
南北通透 3室2厅 精装修,3,2,1,86.64,南北,2015,奥山世纪城CC尚品,青山,余家头,和平大道809附1号,14292,123,中层
正地铁口 电梯花园洋房 捡漏大三房 老证 随时看房 房东急售,3,2,2,123.56,南北,2017,保利香颂,汉阳,升官渡,四新大道,12035,148,低层
正南 3室1厅 精装修,3,1,1,86.58,南,1998,梨园小区,洪山,铁机路,徐东大街213号,14513,126,共5
洪山万科广场旁万科城市之光 纯新边户3房 业主诚心卖有钥匙！,3,2,2,122.93,南北,2022,万科城市之光,洪山,白沙洲,白沙洲大道,16139,198,低层
正南 3室2厅 精装修,3,2,2,129.96,南,2021,汇悦天地(三期),江岸,后湖,和谐大道596号,15583,203,高层
（一方水，一线临湖）（豪装上百个）（皇宫复式，汉阳   ）,4,3,3,301,西北,2000,南国明珠(二期),汉阳,王家湾,龙阳大道95号,13731,413,高层
人信汇天誉 总高22层 稀缺两室带书房 湖景房 看房有钥匙,2,2,1,87.02,南北,2019,人信汇天誉,汉阳,王家湾,龙阳大道62号,14723,128,中层
电梯房 89平 满二 3室2厅 九坤新城壹号 精装修,2,2,1,89.69,南北,2016,九坤新城壹号,东西湖,吴家山,三店西路,7558,68,高层
特赞好房 格局周正 精致3房 居家装修随时看,3,2,1,104.72,南北,2013,现代森林小镇,江夏,东湖高新,光谷大道120号,21313,223,高层
正南 3室2厅 企业力荐好房诚意出售,3,2,2,113.14,南,2014,F学府(A区),黄陂,盘龙城,腾龙大道88号,6065,69,高层
电梯房 93平 2室2厅 满二 精装修 居家自住 保养好,2,2,1,93.31,南北,2010,外滩棕榈泉,江岸,三阳路,沿江大道229号,30297,283,高层
正南 3室2厅 精装修,3,2,1,93.47,南,2019,中国水电盛世江城,江汉,杨汊湖,新湾路9号,19898,186,低层
房源采光好，南北通透，业主诚意出,3,2,1,132.54,南北,2004,秀泽园(北区),江岸,百步亭,兴业路199号,10790,143,中层
真正的景观好房，动静结合，百胜青城一品165万元开售,3,2,1,94.62,南,2011,百胜青城一品,洪山,欢乐谷,祥丰路85号,14415,136,中层
满五   南北通透 2室2厅,2,2,1,81.09,南北,2003,绿之苑,洪山,关西,雄楚大道937号,14170,115,中层
物业自营单元，万科品质小区精装修三房业主诚心急售可以随时看房,3,2,1,93.94,南北,2014,万科金色城市23地块,洪山,白沙洲,长征二路,11000,103,低层
南北通透 3室2厅 精装修,3,2,1,109.3,南北,2020,招商一江璟城(北区),青山,红钢城,建设六路5号,15882,174,中层
正南 2室1厅 企业力荐好房诚意出售,2,1,1,62.36,南,2016,八大家花园43街坊,青山,建设二路,吉林街22号,13653,85,高层
关山大道2017次新豪宅低于市价290万急售南北通三房,3,2,2,118.99,南北,2015,万科城花璟苑,洪山,光谷软件园,关南园路,20146,240,高层
光谷步行街地铁口精装婚房  客厅墙面贴了瓷砖  亏本急售,3,2,1,100.63,南北,2010,加州阳光,洪山,光谷广场,光谷街11号,18072,182,高层
保利上城 正地铁口 精装三房 产证满二 南北通透,3,2,1,84,南北,2018,保利上城东区,洪山,白沙洲,烽胜路20号,12793,107,低层
南北通透 4室2厅 企业力荐好房诚意出售,4,2,2,133.53,南北,2000,绿地国际理想城(三期),洪山,光谷东,光谷四路,14114,188,高层
古田二路地铁口 凯德对面 中间楼层 采光好 户型方正 随时看,2,2,1,91.43,南北,2015,海尔国际广场,硚口,古田,古田二路98号,13110,120,中层
江山樾 109平 3室2厅 南北通透 居家自住 保养好,3,2,2,109.4,南北,2014,江山樾,硚口,古田,沿河大道626号,12468,136,高层
正南 3室2厅 企业力荐好房诚意出售,3,2,2,123.18,南,2017,光谷悦城,江夏,金融港,光谷一路,15166,187,低层
满五唯一 南北通透 2室2厅,2,2,1,90.91,南北,1998,武泰闸城市花园小区,武昌,武泰闸,白沙洲大道505号,11093,101,中层
精装修 保利香颂 南北通透 电梯房 采光好 周边商圈成熟,3,2,2,110.67,南北,2020,保利香颂,汉阳,升官渡,四新大道,14192,157,高层
宝安璞园复式，电梯精装修中层三房，看房方便有钥匙，价格可谈,3,1,1,74.34,南北,2010,宝安璞园,洪山,新南湖,文治街46号,15790,117,中层
倒挂3000每平！  房出售，看房密码三房户型无暗房！！！,3,2,1,99.66,南,2014,富强天合熙园,江岸,后湖,连湖路51号,13188,131,高层
99平东原启城 地铁口目送试  3室2厅 南北通透 楼层好,3,2,1,99.97,南北,2021,东原启城(三四期),洪山,白沙洲,烽胜路,13064,131,低层
正南 3室2厅 精装修,3,2,2,116.47,南,2016,江山如画(6期),硚口,武胜路,汉中路76号,19730,230,高层
王家湾核心商圈 地铁口 一线看湖 前后无遮挡 老证,3,2,1,106.9,南北,2017,王家湾中央生活区,汉阳,王家湾,汉阳大道,12991,139,中层
满五   正南 2室2厅 精装修,2,2,1,84.23,南,2014,世茂锦绣长江(4期),汉阳,鹦鹉,滨江大道192号,16193,136,高层
房源采光好，南北通透，业主诚意出,3,2,1,95.04,南,2017,幸福湾星澜,江岸,百步亭,解放大道2901号,12611,120,高层
急降15万 宝业光谷丽都 精装大两房 全房朝南 满五年,2,2,1,84.99,南北,2016,宝业光谷丽都,洪山,光谷软件园,龙城路9号,13306,112,中层
保利心语二期 全朝南的三房两卫 带大露台养花养草 阳光好,3,2,2,118.77,南,2008,保利心语(二期),洪山,新南湖,野芷湖西路3号,14268,169,低层
正南 3室2厅 精装修,3,2,1,100,南,2019,御江壹品青山印,青山,建设二路,建设二路9号,19012,190,高层
房东急售！127平3房2卫 中建星光城 电梯入户 通透户型,3,2,2,127.06,南北,2021,中建星光城(一期),洪山,光谷东,光谷三路59号,14247,181,低层
正南 3室2厅 精装修,3,2,1,91.16,南,2019,华发未来荟(一期),汉阳,四新,江城大道,18136,165,中层
竹叶海嘉园(B区) 南北通透 电梯房 92平 3室2厅 精装,3,2,1,92.16,南北,2012,竹叶海嘉园(B区),东西湖,吴家山,东吴大道,9687,89,高层
正南 3室2厅 企业力荐好房诚意出售,3,2,2,116.22,南,2016,天汇龙城龙飞苑,黄陂,盘龙城,巨龙大道90号,6472,75,高层
88平160万急售 千禧城 毛坯好两房 南北通透 老证税少,2,2,1,88.65,南北,2017,千禧城,硚口,古田,南泥湾大道106号,14919,132,中层
万科金域蓝湾精装 老证 南北通透 产权清晰,3,2,2,104.93,南,2014,万科金域蓝湾,沌口开发区,江汉大学,三角湖路8号,14574,153,低层
锦园带装俩房可改三房  东向正对小区绿化花园,2,2,1,81.81,南,2019,万科锦园,江汉,汉口火车站,常青一路157-7号,13035,107,低层
南北通透两房，双阳台，满五年，采光通风好得房率高,2,2,1,96.56,南,2009,锦绣江南(一期),武昌,中北路,中北路126号,17978,174,高层
电梯房 南北通透 92平 满二  住房 精装修 居家自住 保,3,2,1,92.61,南北,2017,千禧城,硚口,古田,南泥湾大道106号,12943,120,低层
保利香颂 户型南北通透 得房率高 视野采光好 周边商圈成熟,3,2,2,122.83,南北,2018,保利香颂,汉阳,升官渡,四新大道,13460,165,高层
产证满五  ，  楼层视野采光好，东边户，店长力荐精装三房。,3,2,2,117.46,南,2012,保利心语(八期),洪山,新南湖,野芷湖西路10号,14427,169,中层
正南 2室2厅 企业力荐好房诚意出售,2,2,1,90.13,南,1990,荷风雅居,蔡甸,蔡甸城区,工农路附87-13号,5504,50,中层
一口价 以现在的行情来看 若不是山穷水尽 谁会忍痛割爱呢,3,2,1,100.51,南北,2018,美联德玛假日(二期),东西湖,吴家山,黄狮海东路,6991,70,中层
保利中央公馆(G1G16栋)93.79平183万3室2厅1卫,3,2,1,93.79,南北,2012,保利中央公馆(G1-G16栋),洪山,新南湖,丁字桥南路558号,16129,151,低层
南北通透 3室2厅 精装修,3,2,2,117.55,南北,2019,保利新武昌,洪山,白沙洲,张家湾路8号,13783,162,高层
大华 样板间装修。光线好 地段好 任中旁边,2,2,1,81.57,南,2017,大华铂金郦府,青山,余家头,旅大街21号,15809,129,高层
南北通透 3室2厅 企业力荐好房诚意出售,3,2,2,121.05,南北,2005,金地格林小城美茵区,洪山,珞狮南路,书城路81号,16935,205,中层
正南 3室2厅 企业力荐好房诚意出售,3,2,1,94.74,南,2015,国际百纳,江岸,后湖,中一路36号,15531,147,低层
正南 3室2厅 精装修,3,2,2,108.46,南,2022,新城璞樾门第,洪山,光谷东,佛祖岭东街4号,15243,165,低层
满五   正南 3室2厅 精装修,3,2,1,84.51,南,2015,名流人和天地风和园,黄陂,盘龙城,巨龙大道88号,8314,70,高层
东湖高新万科魅力之城大两居出售 户型通透 居住舒适 自住保养,2,2,1,80.02,西,2009,万科魅力之城(北区),江夏,金融港,高新四路1号,13532,108,低层
正南 2室2厅 企业力荐好房诚意出售,2,2,1,77.24,南,2016,大华铂金郦府,青山,余家头,旅大街21号,15304,118,低层
正南 3室2厅 企业力荐好房诚意出售,3,2,1,93.56,南,2019,花样年锦绣城(B区),洪山,白沙洲,武金堤路,10426,98,高层
观庭金色世家(B区) 3室2厅 123平 电梯房 南北通透,3,2,2,123.74,南北,2013,观庭金色世家(B区),洪山,白沙洲,白沙五路2号,8217,102,低层
三环内 地铁口胜利丰园 3房南北通透边户 高楼层视野好,3,2,2,102,南,2018,胜利丰园,洪山,白沙洲,烽胜路88号,8510,87,高层
南北通透 3室2厅 精装修,3,2,2,124.9,南北,2015,黄陂人信城,黄陂,前川,前川街188号,6949,87,中层
满五   南北通透 3室2厅,3,2,1,96.85,南北,2010,领秀城(二期),洪山,卓刀泉,雄楚大道489号,19631,190,低层
歌林花园 27号线地铁口 90平2室2厅  满二  有钥匙,2,2,1,90.99,南北,2012,歌林花园,黄陂,盘龙城,巨龙大道159号,6996,64,中层
正南 3室2厅 精装修,3,2,2,112.77,南,2016,金地格林东郡,洪山,光谷软件园,纺织路10号,23383,264,中层
性价比非常高的温馨三房 一个让您耳目一新的房子 随时看房哦~,3,2,1,88.81,南北,2013,沿海赛洛城(二期),东西湖,吴家山,张柏路,7819,69,低层
万科西半岛精装修退台式洋房,3,2,2,135.01,南北,2007,万科四季花城西半岛,东西湖,金银湖,环湖路18号,8254,111,低层
老证诚售  近洪山广场 地铁12号线旁 目送式教育 配套齐全,3,2,1,91.51,南北,2015,万科金色城市锦绣苑,洪山,白沙洲,白沙五路7号,12827,117,高层
满二 当代满庭春MOMA 3室2厅 南北通透 115平,3,2,2,115,南北,2019,当代满庭春MOMA,新洲,阳逻开发区,风情大道10号,5032,58,高层
正南 4室2厅 企业力荐好房诚意出售,4,2,1,196.23,南,2008,中国院子,黄陂,盘龙城,盘龙大道特8号,12596,247,共1
3室2厅 110平 电梯房 精装修 房东急置换 诚意买房,3,2,2,110.8,北,2013,恒大名都,黄陂,盘龙城,巨龙大道33号,6640,74,高层
洪山区 飙血出售 两室两厅一卫 景观房 欢迎走进您的新家,2,2,1,73.27,南北,2016,保利时代(北区),洪山,关山,关山大道332号,21210,155,低层
