标题,室数,厅数,卫数,面积,朝向,建造时间,小区,行政区,街道,门牌号,单价,总价,楼层所属区域
精装三房  目送式教学   小区生活   配套成熟,3,2,2,98.22,南北,2019,中南拂晓城(108地块),黄陂,横店,天阳路,6733,66,低层
诚售 金科城 满二 中间楼层 通透毛坯大三房 价格可谈,3,2,2,113.41,南北,2018,金科城,洪山,欢乐谷,仁和路98号,14942,169,中层
正南 3室2厅 精装修,3,2,1,89.84,南,2015,中建开元公馆,青山,建设二路,建设二路11号,18310,164,低层
南北通透 2室2厅 精装修,2,2,2,95.55,南北,2002,金梭花园,洪山,光谷广场,创业街59号,15140,145,中层
满二   正南 4室2厅,4,2,3,163.15,南,2000,世茂龙湾(三期别墅),沌口开发区,天鹅湖大道,知音湖大道,9374,153,共1
正南 3室2厅 精装修,3,2,1,98.43,南,2016,保利上城东区,洪山,白沙洲,烽胜路20号,13605,134,低层
中冶39大街 3室2厅 满二唯一住房 南北通透 诚心出售 价,3,2,2,118.46,南北,2019,中冶39大街,青山,建设二路,旅大街87号,17515,207,低层
正南 3室2厅 企业力荐好房诚意出售,3,2,1,108.52,南,2019,喜瑞都,洪山,白沙洲,白沙三路,12797,139,低层
正南 3室2厅 企业力荐好房诚意出售,3,2,2,122.68,南,2015,东原乐见城(K2地块),洪山,白沙洲,南李路105号,12668,155,高层
满五唯一，带大露台，地铁口，天街旁，实验小学边，业主诚心出售,3,2,1,111.13,南北,2016,清江锦城玺园,洪山,白沙洲,烽胜路55号,12869,143,低层
汉阳王家湾摩尔城旁，精装三室，南北通透，楼层好拎包入住,3,2,2,120.75,南,2019,人信汇天誉,汉阳,王家湾,龙阳大道62号,15608,188,高层
满二   正南 3室2厅 精装修,3,2,1,90.65,南,2017,中国铁建梧桐苑,江夏,金融港,民族大道324号,17326,157,中层
满五   南北通透 3室1厅 精装修,3,1,2,107.86,南北,2002,钢都花园124街坊,青山,余家头,友谊大道,13029,141,高层
首次8万拿证 小区里面 光谷十小软件园曙光星城C区无过户费,1,1,1,46.01,南北,2015,曙光星城C区,洪山,光谷软件园,雄庄路6号,14013,64,低层
中建南湖壹号 南北通透采光好双阳台 精装大三房 满二年街道口,3,2,2,131.04,南北,2015,中建南湖壹号,洪山,街道口,文荟路78号,17663,231,低层
招商一江璟城稀有小三房，中间楼层满二税少，有钥匙方便看房,3,2,1,96.71,南,2020,招商一江璟城(北区),青山,红钢城,建设六路5号,15813,153,低层
急卖满二 7号线 永旺旁 江南新天地 106平3房2厅2卫,3,2,2,106.98,南北,2019,江夏江南新天地,江夏,文化大道,文化大道36号,10586,113,低层
白沙洲  三环内  东原启城  精装修3房 诚心出售 随时看,3,2,2,106.77,南北,2020,东原启城(三四期),洪山,白沙洲,烽胜路,12387,132,中层
满五唯一 正南 2室2厅 精装修,2,2,1,82.81,南,2013,大华铂金华府,青山,余家头,园林路25号,16570,137,高层
万科金域时代 毛坯 方正三房,3,2,1,87.22,西,2019,万科金域时代,江汉,北湖,台北路295号,19808,173,中层
3室2厅 企业力荐好房诚意出售,3,2,1,108.83,东,2018,万科翡翠玖玺,沌口开发区,郭徐岭广场,太子湖路,16711,182,中层
满五唯一 正南 2室2厅 精装修,2,2,1,78.56,南,2009,清江山水,洪山,光谷软件园,软件园中路10号,15573,122,低层
正南 2室2厅 企业力荐好房诚意出售,2,2,1,89.11,南,2015,花样年花郡(二期),洪山,欢乐谷,丰园路6号,15585,139,高层
南北通透 4室2厅 精装修,4,2,2,128.38,南北,2017,江夏江南新天地,江夏,文化大道,文化大道36号,9015,116,低层
正南 3室2厅 企业力荐好房诚意出售,3,2,1,109.85,南,2016,恒达盘龙湾荷苑,黄陂,盘龙城,盘龙大道48号,6924,76,中层
双地铁口物业捡漏  业主急售  大三房,3,2,1,107.71,南北,2019,喜瑞都,洪山,白沙洲,白沙三路,12356,133,低层
老证 南北三居 高楼层 婚房装修 拎包入住 业主诚心卖,3,2,1,87.98,南北,2015,万科汉阳国际A区,汉阳,王家湾,康达街18号,15127,133,高层
汉北玺园 唯一住房 96平 南北通透 电梯房 诚心出售 价格,3,2,1,96,南北,2016,汉北玺园,黄陂,武湖,汉口北大道,7749,74,高层
不临二环 楼下一初 中城悦城 精装三室 高层南北通透 无遮挡,3,2,1,98.9,南北,2017,中城悦城(一期),江汉,王家墩CBD,发展大道66号,20059,198,高层
轻轨高车站旁 豪华装修 全屋定制  南北通透 3居2卫2阳台,3,2,2,109.85,南北,2019,汉北玺园,黄陂,武湖,汉口北大道,7751,85,低层
南北通透 3室2厅 精装修,3,2,1,105.12,南北,2018,清能清江锦城(三期),洪山,白沙洲,白沙四路62号,13211,139,高层
正南 2室2厅 精装修,2,2,1,97.27,南,2003,碧苑C区,青山,建设二路,建设三路16号,11728,114,高层
武湖地铁口 豪华装修 满五   单价低 随时可以看房,2,2,1,88.82,南北,2018,百隆东方城,黄陂,武湖,汉施公路,6794,60,低层
房源采光好，南北通透，没有遮挡，交通方便，配备育才,2,2,1,90.52,南,2017,幸福湾星润,江岸,后湖,解放大道2903号,10958,99,高层
正南 3室2厅 精装修,3,2,1,105.39,南,2012,美景天城,黄陂,盘龙城,巨龙大道48号,7059,74,中层
智苑小区 毛坯三房 隔壁新房都要1.3W 省下来的钱买辆车,3,2,1,98.04,南北,2018,智苑小区,洪山,光谷东,流港路100号,8010,79,高层
电梯房 联投汉口郡(三期)御湖 南北通透 101平 房东急置,3,2,1,101,南北,2020,联投汉口郡(三期)御湖,黄陂,武湖,武黄路,7202,73,中层
正南 2室2厅 精装修,2,2,1,88.29,南,2016,保利城一期,洪山,铁机路,团结大道1049号,15448,136,高层
满二唯一 正南 3室2厅 精装修,3,2,2,136.51,南,2014,碧桂园生态城依云,洪山,光谷东,花山大道2号,9204,126,低层
产证满五年，中间楼层，视野采光好，店长力荐精装小三房。,3,2,1,90.56,南,2015,保利心语十期(北区),洪山,新南湖,野芷湖南路3号,14787,134,中层
3室2厅 南北通透 124平 电梯房 房东急置换 现228W,3,2,1,124.95,南北,2000,三阳广场,江岸,永清街,三阳路128-130号,15745,197,高层
满二   正南 3室2厅 精装修,3,2,2,139.16,南,2011,F、阳光城,黄陂,盘龙城,巨龙大道特8号,6238,87,高层
此房是精装三房朝南户型 小区配套齐全 交通便利,3,2,1,94.62,南,2016,绿地派克公馆,青山,和平大道,和平大道1650号,10004,94,低层
比澳门山庄二期便宜十几万 单价9000的三房去哪里找,3,2,1,95.67,南北,2019,富丽泊樾府,江夏,庙山,庙山街,7422,70,高层
正南 3室2厅 企业力荐好房诚意出售,3,2,1,96.29,南,2018,前川欣城(二期),黄陂,前川,前川大道463号,7812,75,高层
范湖地铁 港信小区 大两室可改三室 业主诚意急售 价格可议,2,2,1,102.54,南北,2002,港信小区,江汉,唐家墩,新华路389号,12011,123,中层
好房！世纪江尚豪装大3房 楼层好！ 阳光好 ！税少！拎包入住,3,2,2,158.79,南北,2016,世纪江尚,江汉,前进/江汉,花楼街122号,22645,360,中层
正南 3室2厅 精装修,3,2,1,101.4,南,2019,御江壹品青山印,青山,建设二路,建设二路9号,19157,194,高层
古田三路，地铁口，精装三室两厅，必看好房,3,2,2,114.8,南,2017,千禧城,硚口,古田,南泥湾大道106号,14761,169,低层
（真）满二 家电全送 新武昌旁 保利上城 精装三房来那个两卫,3,2,2,109.77,南北,2018,保利上城西区,洪山,白沙洲,峰胜路20号,14384,158,高层
新上好房 业主急售 长江鑫都方正两房 地铁口电梯房,2,2,1,87.87,南,2006,长江鑫都A区,洪山,白沙洲,白沙二路8号,8184,72,高层
菱角湖公园 高层看湖 三眼桥双地铁口 毛坯两房70年住宅,2,1,1,66.52,南北,2019,万科金域时代,江汉,北湖,台北路295号,17149,114,中层
正南 3室2厅 精装修,3,2,1,97.28,南,2018,万润橄榄城,黄陂,盘龙城,宋岗一路1号,6373,62,中层
智苑小区 必看好房 有证 可贷款可过户 价格狂甩周边几条街的,3,2,1,89.4,南,2018,智苑小区,洪山,光谷东,流港路100号,7028,63,低层
和昌森林湖 精装修 满二 2室2厅 楼层好 视野无遮挡！！！,2,2,1,90.16,西,2016,和昌森林湖,汉阳,四新,芳草西路,14670,132,低层
新房没有住过 性价比历史之最 高端物业闹中取静,3,2,2,112.48,南北,2021,江山如画(8期),硚口,汉正街,汉中路121号,17270,194,中层
融科花满庭 89平 3室2厅 简单装修 房东急置换 诚意买房,3,2,1,89.62,南北,2017,融科花满庭,洪山,白沙洲,白沙洲大道,10700,96,低层
正南 3室2厅 企业力荐好房诚意出售,3,2,2,117.21,南,2019,菁英城(二期),洪山,白沙洲,八坦路,11143,131,高层
地铁口300米 满五唯1  急售 房东配合 自住装修,3,2,1,84.78,南,2016,平安光谷春天,江夏,金融港,高新六路15号,14430,122,低层
房东急卖大华铂金郦府 南北通透 三房中间楼层 商品房随时看房,3,2,1,95.37,南北,2016,大华铂金郦府,青山,余家头,旅大街21号,15775,150,中层
3室2厅 光谷满庭春MOMA 105平 电梯房 满二 南北通,3,2,1,105.68,南北,2016,光谷满庭春MOMA,洪山,光谷东,高新二路,14158,150,高层
华润紫云府 婚房装修 采光好 业主急售 看房方便,3,2,1,90.05,南北,2017,华润紫云府(二期),洪山,白沙洲,白沙四路50号,13402,121,中层
天祥尚府 精装3房 南北通透 价格可谈 随时看房,3,2,2,111.28,南,2016,天祥尚府,洪山,光谷软件园,华师园路3号,16714,186,低层
万科光澜道一期 高楼层 采光视野好 洪山广场旁 地铁口,3,2,1,91.19,南北,2016,万科金色城市锦绣苑,洪山,白沙洲,白沙五路7号,11784,107,高层
满二   正南 2室2厅 精装修,2,2,1,71.85,南,2016,百步亭金桥汇(二期),江岸,后湖,华隆路79号,13231,95,低层
人信汇天誉 3室2厅 88平 满二唯一住房 居家自住 保养好,3,2,1,88.35,南北,2019,人信汇天誉,汉阳,王家湾,龙阳大道62号,14502,128,高层
正南 2室2厅 精装修,2,2,1,89.14,南,2016,光明上海公馆,江岸,后湖,塔子湖东路,17619,157,中层
捡漏 中建汤逊湖壹号 四期湖景3房 单价1万 随时看房 机会,3,2,2,123.66,南北,2019,中建汤逊湖壹号,江夏,文化大道,环湖路,8690,107,高层
天祥尚府 精装三房 中间位置 全屋中央空调 保养好可拎包入住,3,2,1,87.87,南,2016,天祥尚府,洪山,光谷软件园,华师园路3号,15522,136,高层
电梯房 恒大名都 满五  住房 108平 诚心出售 价格可议,3,2,2,108,南北,2013,恒大名都,黄陂,盘龙城,巨龙大道33号,6889,74,中层
电梯房 王家湾中央生活区 112平 3室2厅 南北通透 居家,3,2,2,112.75,南北,2015,王家湾中央生活区,汉阳,王家湾,汉阳大道,13197,149,高层
正南 2室1厅 企业力荐好房诚意出售,2,1,1,76.75,南,2020,招商一江璟城(北区),青山,红钢城,建设六路5号,17448,134,低层
正南 3室2厅 精装修,3,2,2,124.78,南,2022,万科新都会,洪山,新南湖,岭南路,21795,272,中层
捡漏必看 恒大 精装朝南三房 诚心出售 随时看房,3,2,1,102.02,南,2017,恒大御府,青山,建设二路,冶金大道16号,14017,143,高层
正南 3室2厅 企业力荐好房诚意出售,3,2,1,102.17,南,2019,大华铂金瑞府,青山,余家头,园林路15号,16586,169,低层
满二唯一 正南 2室2厅 精装修,2,2,1,81.8,南,2015,黄陂人信城,黄陂,前川,前川街188号,7882,64,高层
江汉大学 联投金色港湾 精装大三房 南北通透  性价比极高,3,2,2,123.31,南北,2017,联投金色港湾,沌口开发区,江汉大学,博学路6号,12000,148,中层
出门地铁口  可正常贷款铂金楼层  洪山实小华师附中,2,2,1,80.3,南,2018,胜利丰园,洪山,白沙洲,烽胜路88号,9265,74,高层
正南 3室2厅 企业力荐好房诚意出售,3,2,1,94.26,南,2005,金地格林小城美茵区,洪山,珞狮南路,书城路81号,19205,181,中层
王钦紫薇花园精装3房，户型方正公摊低，地铁  江滩在门口!,3,2,1,109.64,南,2006,紫薇花园,硚口,古田,古田四路9号,14702,161,中层
新华路 菱角湖公园 地铁口 园林小区 电梯次新房 有钥匙看房,2,1,1,90.48,南,2016,沿海菱角湖壹号,江汉,唐家墩,菱角湖路,20099,182,低层
新上必看好房！老证自住30W婚装 采光无遮挡 诚心置换可议价,3,2,2,120.27,南北,2018,钰龙旭辉半岛一期,汉阳,七里庙,麒麟路1号,12921,155,低层
房管备案好房保利3室产证满五 婚房精装 诚售随时可以看房,3,2,1,86.32,南北,2013,保利海上五月花(一期),江夏,庙山,江夏大道31号,9098,79,中层
光谷核心地段 南北通透 满二 保利华都 采光好 业主急售,2,2,1,91.55,南北,2008,保利华都,洪山,卓刀泉,虎泉街299号,22393,205,高层
正南 3室2厅 精装修,3,2,1,119.04,南,2014,天下峰景,蔡甸,蔡甸城区,工农路70号,4792,57,低层
价格可谈！万科金色城市2室2厅 满二 南北通透 看房方便,2,2,1,79.88,南北,2013,万科金色城市13地块,洪山,白沙洲,白沙四路,11073,88,高层
此房带车位 满5年 非顶楼 好房急售随时看,3,2,2,133.49,南北,2014,绿地名邸公馆(北区),武昌,徐家棚,和平大道513号,26008,347,高层
新二环，保利上城西区，双卫正朝南，阔景阳台，满二,3,2,2,104,南北,2019,保利上城西区,洪山,白沙洲,峰胜路20号,14069,146,高层
锦绣江南（湖景房） 集中供暖 高层 南北通透 大四房 满二,4,2,2,137.21,南北,2008,锦绣江南(一期),武昌,中北路,中北路126号,21568,296,高层
常青南园 红领巾慧泉 地铁2号线 中间楼层,2,2,1,95.02,南北,2012,新世界常青南园(北区),江汉,常青,长港路57号,19574,186,中层
唐樾 精装3房  后期税费少,3,2,1,90,北,2017,万科汉口传奇唐樾,江汉,汉口火车站,新华路758号,20206,182,高层
急卖单价低 仁和路 星桥苑 金科城旁 精装大两房 视野无遮挡,2,2,1,100.11,南北,2001,星桥苑小区,洪山,欢乐谷,友谊大道988号,9908,99,中层
锦绣江南 集中供暖 南向三房 有车位 采光无遮挡 产证两年,3,2,1,92.09,南北,2010,统建锦绣江南(二四期),武昌,中北路,中北路126号,21992,203,低层
南北通透 3室2厅 企业力荐好房诚意出售,3,2,2,112.65,南北,2018,清能清江锦城(三期),洪山,白沙洲,白沙四路62号,13942,157,低层
保利清能西海岸 南北通透 精装三房 满二税少 随时看,3,2,1,89.66,南北,2016,保利清能西海岸(北区),江夏,藏龙岛,杨桥湖大道22号,10603,95,低层
精装修 2室2厅 93平 电梯房 南北通透 采光好 周边商圈,2,2,1,93.66,南北,2016,东西湖中心广场,东西湖,吴家山,东吴大道1248号,10150,95,中层
沙湖必看好房 两室精装 国际城一期 中间楼层 随时看房,2,2,1,92.24,南,2001,福星惠誉国际城(1期),武昌,团结大道,徐东大街28号,19088,176,高层
急售汉口北轻轨旁精装修3房2厅，家电齐全拎包入住证满,3,2,1,117.14,南北,2019,滠水春晓二期,黄陂,滠口,睿思路,6916,81,高层
急售！万科滨江 118平米三房 靠谱出售 有钥匙看房方便,3,2,2,118.31,南北,2020,万科新世纪翡翠滨江(二期),汉阳,王家湾,琴台大道,15720,186,中层
美好名流汇  3室 南北通透 电梯房 满二 古田三路轻轨旁,3,2,1,99.11,南北,2017,美好名流汇(一期),硚口,古田,辛家地北路48号,13762,136,中层
正南 3室2厅 精装修,3,2,2,97.28,南,2019,保利新武昌,洪山,白沙洲,张家湾路8号,14275,139,低层
122平190万急售 融侨锦城 精装好三房 南北通透老证税少,3,2,2,121.66,南北,2008,融侨锦城,硚口,古田,解放大道66号,12910,157,低层
正南 3室2厅 企业力荐好房诚意出售,3,2,1,97.55,南,2019,加州橘郡,江夏,庙山,江夏大道49附2号,8305,81,低层
保利香颂精致三房，二桥芳草   位，老证少税可看房，拎包入住,3,2,1,90.62,南北,2019,保利香颂,汉阳,升官渡,四新大道,14595,132,中层
（精准）保利新武昌三居室 带精装 预约随时看 欢迎电话咨询！,3,2,1,94.79,南北,2020,保利新武昌,洪山,白沙洲,张家湾路8号,15086,143,高层
正南 3室2厅 企业力荐好房诚意出售,3,2,2,114.1,南,2018,东方雨林,江夏,庙山,阳光大道,8549,98,低层
正南 3室2厅 精装修,3,2,1,105.12,南,2018,清能清江锦城(三期),洪山,白沙洲,白沙四路62号,13761,145,低层
光谷东新城 璞樾门第109平206万 3000元装修标准,3,2,2,109.84,南,2022,新城璞樾门第,洪山,光谷东,佛祖岭东街4号,15503,170,低层
正南 3室2厅 精装修,3,2,1,111.01,南,2002,江南家园,洪山,光谷软件园,南湖南路8号,14148,157,高层
捡漏！降价20万！清江山水三房 户型方正 业主急售,3,2,1,87.73,南,2009,清江山水,洪山,光谷软件园,软件园中路10号,16018,141,高层
硚口玉带家园84平2室2厅180万 朝南 高层 老证 可看江,2,2,1,84.58,南,2016,玉带家园,硚口,武胜路,京汉大道370-374号,17592,149,中层
正南 3室2厅 精装修,3,2,2,124.64,南,2020,中冶39大街,青山,建设二路,旅大街87号,19432,242,低层
崇安鑫城 友谊路轻轨站旁 精装两室 小区有绿化 大阳台 老证,2,2,1,94.59,南北,2006,崇安鑫城,江汉,前进/江汉,友谊路126号,16167,153,中层
满二   南北通透 3室2厅 精装修,3,2,2,112.89,南北,2016,天祥尚府,洪山,光谷软件园,华师园路3号,16695,188,低层
满五   正南 3室2厅 精装修,3,2,2,127.47,南,2017,恒大龙城(三期),黄陂,盘龙城,兴龙路,6161,79,高层
联投金色港湾  南北通透 精装修 诚心出售,3,2,1,90.25,南北,2015,联投金色港湾,沌口开发区,江汉大学,博学路6号,11724,106,低层
正南 2室2厅 精装修,2,2,1,90.85,南,2013,卧龙丽景湾香山苑,东西湖,金银湖,金南一路特1号,10828,98,中层
万科物业自营，三室二厅二卫精装未住过,3,2,2,117.37,南北,2016,金湖听语,东西湖,金银湖,南一街2号,13240,155,中层
满二   正南 4室2厅 精装修,4,2,2,110.16,南,2011,盘龙理想城(北区),黄陂,盘龙城,巨龙大道,6979,77,高层
正南 2室2厅 精装修,2,2,1,85.02,南,2017,天汇龙城龙锴苑,黄陂,盘龙城,盘龙城巨龙大道90号,7390,63,低层
双地铁 摩尔城旁 精装修 南北通透 满二 配套成熟,3,2,1,106.15,南北,2017,王家湾中央生活区,汉阳,王家湾,汉阳大道,13239,141,高层
广信万汇城，精装婚房，中间楼层，诚心出售，万科物业。,3,2,1,97.3,南,2018,广信万汇城,江夏,庙山,江夏大道14号,10959,107,中层
南北通透 3室2厅 企业力荐好房诚意出售,3,2,2,137.2,南北,2001,青翠苑社区房产院,青山,友谊大道,"青翠苑60-61,76-79门",7351,101,高层
丽水花园 通透大三房 单价才1.18万 老证 前后双阳台 急,3,2,2,156.32,南北,2002,丽水花园,汉阳,钟家村,马沧湖路380号,9783,153,中层
南北通透 3室2厅 精装修,3,2,2,122.93,南北,2015,怡景华庭,汉阳,钟家村,五通路,14928,184,中层
近地铁 万科汉阳国际 老证 朝南,2,2,1,75.02,南,2014,万科汉阳国际B区,汉阳,王家湾,康达街10号,13002,98,中层
宗关 保利香槟国际 三房两厅两卫 房东急置换,3,2,2,120.15,南北,2015,保利香槟国际,硚口,宗关,汉西一路49号,17544,211,高层
恒大城 老证 单价低 总价低 税费低 东南看湖,2,2,1,84,南北,2015,武汉恒大城(二期),东西湖,金银湖,柏环一路,7676,64,高层
满五唯一 正南 2室2厅 精装修,2,2,1,86.81,南,2015,保利中央公馆(G1-G16栋),洪山,新南湖,丁字桥南路558号,16663,145,低层
青山江滩旁，大华滨江天地，精装修，大两房，,2,2,1,96.45,南北,2015,大华铂金郦府,青山,余家头,旅大街21号,16455,159,高层
捡漏！有钥匙一口价112万，低于市场价中高层无遮挡随时看,3,2,2,99.18,南北,2018,保利清能西海岸(南区),江夏,藏龙岛,杨桥湖大道,9585,95,高层
汉北玺园 电梯房 满二  住房 97平 3室2厅 房东急置换,2,2,1,81.54,南,2017,汉北玺园,黄陂,武湖,汉口北大道,6590,54,低层
保利香颂 房子自住大三室 二次装修家具家电全送 性价比超高,3,2,2,124.11,南北,2020,保利香颂,汉阳,升官渡,四新大道,15185,188,低层
业主急售 满五唯一 4房2厅2卫3阳台 见面价格可谈,4,2,2,136.5,南北,2015,星悦城(四期),江岸,后湖,春兰街66号,15685,214,中层
正南 3室2厅 企业力荐好房诚意出售,3,2,1,95.74,南,2018,金科城,洪山,欢乐谷,仁和路98号,13642,131,高层
珞狮南路 地铁口 明泽丽湾 118平168万 精装修 满五年,3,2,1,117.52,南北,2006,明泽丽湾,洪山,珞狮南路,珞狮路515号,11817,139,高层
顶琇晶城汉口火车站电梯房 共享CBD和天街,3,2,2,115.4,南,2009,顶琇晶城,江汉,唐家墩,发展大道299号,14685,169,低层
前排一线江景，东南朝向大2房，楼层佳采光无挡,2,2,2,108,东南,2005,江山如画(1期),硚口,崇仁路,沿河大道236附6号,14925,161,中层
地铁三号线精装3室2厅1卫150万元急售,3,2,1,92,南,2017,绿地悦澜湾,汉阳,四新,四新北路601号,13478,124,低层
捡漏地铁口带露台 单价8000电梯房 谁是可看,3,2,2,129.96,南北,2008,海景花园(C区),东西湖,吴家山,二雅路50号,6870,89,低层
（可芳草二桥）（稀缺大院子（还可扩）（精装20w，保养新）,3,2,2,137.73,南,2008,南国明珠(二期),汉阳,王家湾,龙阳大道95号,14104,194,低层
联投金色港湾  电梯洋房 户型方正  朝南采光好,3,2,1,90.88,南,2018,联投金色港湾,沌口开发区,江汉大学,博学路6号,14553,132,高层
万科四季花城 复试楼 前后视野开阔，带大露台,4,2,2,107.66,南北,2004,万科四季花城,东西湖,金银湖,金山大道特18号,12669,136,共5
正地铁口 中心花园小区电梯小高层两梯四户 等同毛坏房,3,2,2,138.84,南,2005,光谷中心花园,洪山,光谷广场,珞喻路,13396,186,中层
好便宜啊 人信汇旁 正规商品房   户型 南北通透双阳台,2,2,1,89.38,南北,2008,新澳蓝草坪,汉阳,王家湾,龙阳大道66号,11098,99,高层
出门地铁口  老证 不临街 无遮挡 精装两房  中高楼层,2,2,1,82.93,南,2011,幸福时代(一二期),江岸,百步亭,后湖大道335号,13855,115,中层
南北通透 4室2厅 精装修,4,2,2,144.16,南北,2013,南德国际城,黄陂,前川,百泰路186号,10322,149,低层
780w泛海国际碧海园 精装修南北通透四房四卫 楼层好 老证,4,3,4,260.15,南北,2016,泛海国际居住区碧海园,江汉,王家墩CBD,商务东路88号,25006,651,高层
中高楼层 采光好 户型好 满二 精装修 诚心卖,3,2,2,115.26,南,2018,华乐苑,洪山,光谷广场,珞喻路714号,12192,141,高层
江山如画挂角边户南北向中间楼层，证满税少急售,3,2,2,117.93,南,2003,江山如画(5期),硚口,崇仁路,江中路71号,18575,219,低层
满五   南北通透 3室2厅,3,2,1,117.7,南北,1997,卓刀泉教师小区,洪山,卓刀泉,卓刀泉路99号,13695,161,中层
