标题,室数,厅数,卫数,面积,朝向,建造时间,小区,行政区,街道,门牌号,单价,总价,楼层所属区域
必看好房 错过拍大腿 保利拉菲 精装三开间朝南 满五唯一,3,2,1,92.21,南北,2012,保利拉菲,洪山,卓刀泉,楚康路301号,16315,150,低层
精装修 三开间朝南   居家自住 保养好 急售价格惊爆,2,2,1,91.41,南,2015,越秀星汇君泊一二期,江岸,后湖,塔子湖东路18号,15013,137,高层
经典爱家华城2室2厅1卫！精装修！两证齐全！,2,2,1,78.91,南北,2016,爱家名校华城,洪山,白沙洲,白沙洲大道5号,7857,62,高层
（急出）地铁口，保利上城东区，精装三房，中间楼层,3,2,1,95.19,南北,2018,保利上城东区,洪山,白沙洲,烽胜路20号,13547,129,低层
正南 3室2厅 企业力荐好房诚意出售,3,2,1,93.95,南,2018,福星惠誉东湖城(二期),洪山,欢乐谷,园林路169号,15838,149,中层
105平 133万 2室2厅 南北通透 满五 青年广场采光好,2,2,1,105.58,南北,2000,青年广场,江汉,万松园,青年路284号,10804,114,中层
急售捡漏 蓝光 带暖气精装三房 老证 拎包入住 看房预约,3,2,2,116.06,南,2017,蓝光林肯公园,硚口,古田,长谊路,9971,116,低层
宁寄人篱下不可无家可归..,2,2,1,91.84,南,2014,汉北广场,黄陂,滠口,汉口北大道,6931,64,中层
保利五月花，通透四房，业主急售，满二年，随时看房,4,2,2,120.05,南北,2014,保利海上五月花(一期),江夏,庙山,江夏大道31号,8180,98,低层
后湖核心！ 新装一天未住！行知加六中 小高层低公摊 双地铁口,3,2,2,102.64,南,2010,天伦二七嘉园我的寓所,江岸,后湖,兴业南路9号,15141,155,低层
好赞好房 带私家车位 二小加实验 精装两房带书房,2,2,1,92.1,南北,2013,现代森林小镇,江夏,东湖高新,光谷大道120号,19297,178,低层
"保利香颂精致三房，二桥芳草一步到位，拎包入住,好楼层大阳台",3,2,1,93.77,南北,2019,保利香颂,汉阳,升官渡,四新大道,14281,134,中层
轻轨沿线 美好名流汇二期毛坯3房 通透户型 证齐全 随时看房,3,2,2,111.79,南北,2019,美好名流汇(二期),硚口,古田,解放大道48-8号,12940,145,中层
一线湖景 中大水墨兰轩 上芳草和二桥 12号线地铁口 有钥匙,3,2,2,108.38,南北,2010,中大水墨兰轩,汉阳,王家湾,芳草路66号,12890,140,中层
盘龙城中百仓储，凤凰层南北通透，精装三房，证满五,3,2,2,111.9,南北,2004,名流人和天地怡和园,黄陂,盘龙城,巨龙大道88号,6353,71,高层
正南 2室2厅 精装修,2,2,1,84.28,南,2016,印力中心,青山,冶金大道,"冶金大道,近和平大道",16576,140,低层
满二唯一 南北通透 3室2厅 精装修,3,2,1,84,南北,2016,保利上城东区,洪山,白沙洲,烽胜路20号,12990,109,低层
2室2厅 人信汇天誉 商圈成熟 随时看房 价格可议 诚意出,2,2,1,83.16,南,2019,人信汇天誉,汉阳,王家湾,龙阳大道62号,13121,109,低层
白沙洲 地铁5号线 保利上城 精装3房 诚心出售,3,2,2,103.78,南北,2019,保利上城西区,洪山,白沙洲,峰胜路20号,13541,141,中层
正南 3室2厅 精装修,3,2,2,107.82,南,2017,美联德玛假日(二期),东西湖,吴家山,黄狮海东路,8434,91,中层
恒大帝景3室2厅 精装修电梯房南北通透 采光好 周边商圈成熟,3,2,2,130.28,南北,2016,武汉恒大帝景,东西湖,吴家山,金山大道889号,9645,126,中层
南北通透 3室2厅 企业力荐好房诚意出售,3,2,2,136.13,南北,2007,洪福美邻,青山,建设二路,吉林街16号,14088,192,低层
"难得一见的豪装小户型,总价低,朝向好",3,2,2,118.4,南北,2018,光明上海府邸,汉阳,四新,四新北路319号,13474,160,高层
正南 3室2厅 企业力荐好房诚意出售,3,2,1,94.74,南,2015,国际百纳,江岸,后湖,中一路36号,15705,149,高层
玫瑰湾二期 中高层精装三房两厅 户型方正采光好  洪山三小,3,2,2,123.17,南,2010,泰然南湖玫瑰湾二期红玫苑,洪山,珞狮南路,苫风咀8号,13087,161,中层
正南 3室2厅 精装修,3,2,2,111.25,南,2012,珩生领袖城,黄陂,盘龙城,盘龙大道,6613,74,高层
华润葛洲坝琨瑜府 毛坯房 随时看房,3,2,2,117,南北,2019,琨瑜府(三期),洪山,关山,光谷创业街,20842,244,高层
精装 拎包住 下楼就是   四期 送车位 家电 老证,2,2,1,91.56,南,2005,新华家园,江汉,杨汊湖,姑嫂树路11号,16702,153,中层
十里玫瑰 精装修三房两厅 拎包入住 老证税低 随时看房 急售,3,2,1,98.81,南北,2018,十里玫瑰(三期),汉阳,七里庙,玫瑰街,9788,97,高层
精装修 满二 大华南湖公园世家中区 电梯房 居家自住 保养好,2,2,1,73.5,南北,2012,大华南湖公园世家中区,洪山,珞狮南路,文馨街162号,18670,137,高层
地铁口50米 电梯房 金融港百度百捷 小区必看的一套房,3,2,2,130.64,南,2009,藏龙星天地,江夏,藏龙岛,九凤街16号,10124,132,高层
军运村地铁站旁 南北通透三房直降拾伍万急甩,3,2,2,108.01,南北,2022,武汉融创城,江夏,文化大道,黄家湖大道,9628,103,低层
满二唯一 正南 2室2厅 精装修,2,2,1,83.35,南,2014,恒大龙城(一期),黄陂,盘龙城,航城东路19号,6943,58,共5
建二众园商圈 吾行里 南北通透 109平 居家自住 保养好,3,2,1,109.25,南北,2017,吾行里,青山,建设二路,和平大道1248号,16797,184,低层
南北通透 2室2厅 精装修,2,2,1,82.54,南北,2010,东兴商住楼,黄陂,前川,河塔街,5608,46,中层
印象城旁精装三室丶南北通透丶业主诚心出售丶拎包即住,3,2,2,126.82,南,2017,恒大御府,青山,建设二路,冶金大道16号,14340,182,高层
东区电梯二房 看房有钥匙,2,2,1,86.03,南北,2006,万科城市花园(上东区),江夏,东湖高新,大学园路1号,21619,186,高层
91平 精装修 2室2厅 南北通透 满五  住房 楼层好 视,2,2,1,91.03,南北,2008,金地中心城(西区),洪山,关西,雄楚大道908号,15256,139,高层
捡漏 菩提苑 好楼层 采光充足 房东只带衣服走 随时看房,3,2,1,126.37,南北,2013,菩提苑,江夏,文化大道,环湖路,9485,120,中层
万科汉阳国际精装两房 中间楼层 诚心出售,2,2,1,81.46,南,2014,万科汉阳国际B区,汉阳,王家湾,康达街10号,12989,106,低层
正南 2室1厅 企业力荐好房诚意出售,2,1,1,91.4,南,2005,阳光花园(新湾五路),江汉,杨汊湖,新湾五路105号,14923,136,中层
（价格冰点）（必看好房）万达旁纽宾凯蜜城 港口村站在楼下,3,2,1,81.1,南,2016,纽宾凯国际社区蜜城,汉阳,四新,芳草路,13046,106,高层
带车位 广电江湾 138平豪装三房 保养好 全屋中央空调地暖,3,2,2,138.93,南北,2016,广电江湾新城(南区),硚口,古田,古田路68号,14577,203,低层
联投金色港湾 精装修 南北通透 3室2厅 房东急置换 诚意买,3,2,1,94.29,南北,2018,联投金色港湾,沌口开发区,江汉大学,博学路6号,10958,103,高层
（新上房源）公园里小三房 老证税少 全天采光 随时看房,3,2,1,90,南,2017,招商公园1872瑞府,汉阳,四新,江城大道,13960,126,中层
正南 3室2厅 企业力荐好房诚意出售,3,2,2,118.87,南,2016,绿地派克公馆,青山,和平大道,和平大道1650号,9110,108,高层
检漏光谷软件园  电梯房 南北通透 精装修 满二唯一住房,2,2,1,81.82,南北,2012,清江山水,洪山,光谷软件园,软件园中路10号,14649,120,中层
二环 唐家墩地铁口 次新房顶琇国际城  纯毛坯 老证 有钥匙,3,2,2,93.06,南,2017,顶琇国际城,江汉,唐家墩,发展大道239号,15722,146,高层
正南 3室2厅 企业力荐好房诚意出售,3,2,2,103.78,南,2010,保利城(四期),洪山,铁机路,铁机路133号,17922,186,低层
九龙涺 南北通透 87平 电梯房 房东急置换 诚意买房,2,2,1,87.55,南北,2010,九龙涺,武昌,武泰闸,白沙洲大道555号,15862,139,中层
正南 3室2厅 精装修,3,2,2,140.1,南,2020,光谷澎湃城奥山府,洪山,光谷东,佛祖岭东街2号,15223,213,低层
古南社区74.39平69万2室1厅1卫,2,1,1,74.39,西,2000,古南社区,硚口,古田,田文街16号,7778,58,中层
欧洲风情小区，老证带车位，一线看湖，南北通透，业主急卖随时看,4,2,2,141.3,南,2019,招商公园1872(B3-2地块),汉阳,四新,凤举路,15210,215,中层
正南 3室2厅 企业力荐好房诚意出售,3,2,1,103.8,南,2013,现代森林小镇,江夏,东湖高新,光谷大道120号,19750,205,中层
急卖科普公园大华铂金郦府 纯商品房南北通透 自住装修随时看房,2,2,1,88.79,南北,2018,大华铂金郦府,青山,余家头,旅大街21号,15362,136,低层
劲爆价 直降50万 捡漏 好楼层 一梯两户 业主急卖去外地,3,2,1,129.13,南,2007,汉口春天,硚口,古田,解放大道109号,10114,131,中层
正南 3室2厅 精装修,3,2,2,128.81,南,2021,御江壹品青山樽,青山,建设二路,建设二路,17263,222,低层
仲界费1万，75平星悦城玺樾两房 精装修（中央空调壁暖）,2,2,1,75,南北,2021,星悦城玺樾,江岸,江岸周边,青松路,14108,106,高层
四新核心 城投四新之光通透3房 毛坯 随时看房总价低,3,2,2,111.29,南,2017,城投四新之光(二期),汉阳,四新,连通港西路,11142,124,低层
正南 3室2厅 精装修,3,2,1,88.46,南,2016,平安光谷春天,江夏,金融港,高新六路15号,13643,121,高层
115平 电梯房 满五 星悦城二期 3室2厅 南北通透 楼层,3,2,2,115.71,南北,2014,星悦城二期,江岸,后湖,罗家嘴路28号,14645,169,中层
满二   正南 3室2厅 精装修,3,2,2,104.47,南,2015,复地海上海,汉阳,鹦鹉,建港路1号,18911,198,中层
保利中央公馆 大两房 地铁口 带装修 高楼层 视野开阔172,2,2,1,86.71,南北,2015,保利中央公馆(G1-G16栋),洪山,新南湖,丁字桥南路558号,16397,142,高层
泛悦城 120平三房 二次精装修 带车位 中间楼层 预约看房,3,2,2,119.96,南北,2019,泛悦城,洪山,关山,关山大道,26530,318,低层
"ONE39三房钥匙看房琨瑜府泛悦城旁,诚心出售南北通透",3,2,1,101.5,南北,2018,光谷ONE39,洪山,光谷广场,高新大道229号,15474,157,低层
轻轨边小户型 超大空间 有电梯天然气 边户,1,1,1,66.39,南北,2017,汉口北一号公馆,黄陂,汉口北,汉口北大道111号,3735,25,高层
纽宾凯国际社区，四新成熟社区的标杆 毛坯小三房 老证价格优惠,3,2,1,91.37,南,2017,纽宾凯国际社区锦城,汉阳,四新,芳草路,12847,117,低层
保利精装三房，不临铁路高架，楼层好，无抵押交易快,3,2,1,95.66,南,2013,保利公园九里(1-4期),洪山,新南湖,南湖小路9号,15969,152,高层
金融港地铁口2号线附近花园洋房必看好房，三居随时看房诚意出售,3,2,2,114.02,南,2013,当代卡梅尔小镇,江夏,藏龙岛,杨桥湖大道10号,10513,120,中层
老证 拎包入住 保养好 交通方便 公园散步,2,2,1,77.92,南,2014,万科汉阳国际B区,汉阳,王家湾,康达街10号,13261,103,低层
正南 2室2厅 企业力荐好房诚意出售,2,2,1,87.18,南,2010,领秀城(一期),洪山,卓刀泉,雄楚大道489号,17731,155,中层
年轻时尚社区 精致3室2厅2卫1阳台 享受生活从这里开始,3,2,2,112.93,南北,2019,保利大都会,洪山,卓刀泉,雄楚大道355号,25473,288,低层
房源采光好，南北通透，业主诚意出,3,2,2,111.62,南北,2016,汉北大全景,黄陂,武湖,汉口北大道,7036,79,高层
正南 3室2厅 精装修,3,2,2,123.74,南,2013,观庭金色世家(B区),洪山,白沙洲,白沙五路2号,8217,102,低层
正南 3室2厅 企业力荐好房诚意出售,3,2,2,117.05,南,2018,东原启城(一期),洪山,白沙洲,烽胜路66号,11864,139,低层
汉口江滩正对面，上海路口 2楼 3室2厅2卫3阳台 全明户型,3,2,2,103.31,东南,1995,上海路4-8号小区,江岸,江汉路,上海路4-8号,13842,143,低层
满五   正南 3室2厅 精装修,3,2,1,92.96,南,2013,保利心语(九期),洪山,新南湖,野芷湖南路5号,13330,123,低层
阳光花园 新湾五路 通透户型 2房2厅2卫 一梯2户 公摊小,2,2,2,91,南北,2004,阳光花园(新湾五路),江汉,杨汊湖,新湾五路105号,15443,141,中层
汉口火车站旁 福星城南区 满五   精装修 中高楼层 采光好,3,2,1,96.8,南北,2008,福星惠誉福星城(南区),江汉,汉口火车站,常青一路2号,14517,141,高层
正南 3室2厅 精装修,3,2,2,102.9,南,2019,尚璟瑞府(一期),黄陂,盘龙城,航城东路16号,7712,79,高层
保利新武昌 正地铁口 精装三房 采光好 产证满二,3,2,2,101.27,南,2020,保利新武昌,洪山,白沙洲,张家湾路8号,16162,164,高层
正南 3室2厅 精装修,3,2,1,96.79,南,2000,绿地国际理想城(四期),洪山,光谷东,光谷四路,15372,149,高层
地铁7号线，常青树旁，品质小区，南北通透！,3,2,1,109.25,南,2016,恒达盘龙湾荷苑,黄陂,盘龙城,盘龙大道48号,6658,73,低层
正南 3室2厅 精装修,3,2,1,93.92,南,2019,理公馆,洪山,街道口,雄楚大道225号,20683,194,高层
地铁口 婚房装修 南北通透边户 满五唯一 税费少 ！,3,2,1,93,南,2016,钰龙湾汇园,汉阳,七里庙,墨水湖北路229号,12444,116,低层
地铁口直降20万怡康育才周边配套齐全花园式小区价格可以小刀,3,2,2,94.59,南,2016,海赋江城天韵A区,江岸,百步亭,兴业路173号,14769,140,低层
老证带车位，黄金楼层，诚心出售,3,2,2,114.97,南北,2018,人信汇天誉,汉阳,王家湾,龙阳大道62号,14380,165,高层
梨韵华府100.15平80万3室2厅2卫,3,2,2,100.15,南北,2015,梨韵华府,黄陂,滠口,明富路,6604,66,低层
必看好房！！满二！！地铁口！！精装3房！！,3,2,1,105.07,南,2018,清能清江锦城(三期),洪山,白沙洲,白沙四路62号,12902,136,低层
南北通透 3室2厅 精装修,3,2,1,80.67,南北,2002,江大路工科院小区,江岸,竹叶山花桥,江大路28号,12911,104,高层
CBD 一初旁 中城悦城一期 3室2厅 98.9平,3,2,1,98,南,2017,中城悦城(一期),江汉,王家墩CBD,发展大道66号,20075,197,高层
佳兆业金域天下三期 精装修双地铁口交通方便环境优美配套全,3,2,1,87.09,南北,2016,佳兆业金域天下(三期),洪山,白沙洲,烽胜路36号,15186,132,高层
急售武广万松园老证东南朝向 中间楼层 户型方正 自住装修,3,2,1,115.71,东南,2003,同成广场,江汉,新华路,建设大道538号,13217,153,高层
南北通透 3室2厅 企业力荐好房诚意出售,3,2,2,122.75,南北,2018,金科城,洪山,欢乐谷,仁和路98号,12795,157,低层
急售！满二省税！楼层好采光好！ 居家装修保养如新 送全部家私,3,2,1,91.09,南北,2016,保利清能西海岸(北区),江夏,藏龙岛,杨桥湖大道22号,10436,95,高层
光谷金融港  大三房两卫 业主婚房装修   保养很好,3,2,2,104.69,南,2017,旭辉御府,江夏,东湖高新,高新四路,13897,145,低层
南北通透 4室2厅 企业力荐好房诚意出售,4,2,2,137.27,南北,2015,星悦城(四期),江岸,后湖,春兰街66号,13550,186,高层
正南 3室2厅 企业力荐好房诚意出售,3,2,1,88.94,南,2016,长投海德公园,江岸,后湖,华盛路66号,15614,139,中层
二环 吉售 一线看湖 索菲亚全屋定制  拎包入住,3,2,1,97,南,2020,钰龙旭辉半岛四期礼园,汉阳,七里庙,百灵路33号,15339,149,高层
130平 3室2厅 南北通透 虹顶家园 居家自住 保养好,3,2,2,130.16,南北,2003,虹顶家园,武昌,南湖花园,恒安路49号,16067,209,高层
百步亭，房源采光好，南北通透，业主诚意出,3,2,1,85.29,南,2017,名流世家,江岸,百步亭,兴业路201号,14732,126,高层
绿景苑港东名居 精装修 89平 2室2厅 拎包入住 随时看房,2,2,1,89.79,南,2014,绿景苑港东名居(一期),洪山,欢乐谷,北洋桥西路66号,11324,102,中层
武昌徐东内环   三开间朝南 2梯2户 采光好 拎包入住,3,2,2,139.01,南,2012,爱家国际华城,洪山,铁机路,团结大道1026号,13083,182,低层
武汉捡漏第一急售住万科  菱角湖公园地铁口 万象城 新华医院,3,2,1,96,南,2019,万科金域时代,江汉,北湖,台北路295号,16102,155,中层
满二 保利心语(六期) 南北通透 精装修 看房方便 有钥匙,2,2,1,86.37,南北,2014,保利心语(六期),洪山,新南湖,野芷湖西路10号,16079,139,低层
2室2厅 满五 83平 电梯房 居家自住 保养好,2,2,1,83.19,南北,2016,绿地中央广场B区,汉阳,四新,梅林西路,10831,90,低层
江景房视野开阔，南北通透，业主诚意出售,3,2,1,97.39,东南,2018,汉口御江澜庭,黄陂,武湖,发展路,8063,79,高层
正南 2室2厅 企业力荐好房诚意出售,2,2,1,84,南,2004,保利花园(东区),洪山,关山,光谷大道219号,17516,147,中层
保利阅江台K10地块，精装三房近地铁，房东亏本急卖，老证过户,3,2,2,109.5,南北,2019,保利庭瑞阅江台,汉阳,郭茨口,琴台大道,12758,140,低层
招商江湾国际精装3房老证随时看房,3,2,2,108.06,南北,2018,招商江湾国际,硚口,古田,古田二路,13387,145,低层
正南 3室2厅 企业力荐好房诚意出售,3,2,2,102.35,南,2018,胜利丰园,洪山,白沙洲,烽胜路88号,9773,100,中层
满五   南北通透 3室2厅,3,2,2,132.7,南北,2002,关西小区,洪山,关西,雄楚大道746号,11213,149,低层
关山 满五 精装修未入住三房 保利茉莉公馆 随时看,3,2,1,92.16,南,2015,保利茉莉公馆,洪山,光谷广场,高新大道197号,21078,194,低层
2室2厅 双地铁 近公园 物业还好 家电全送 急卖可谈,2,2,1,80,南北,2020,武汉恒大帝景,东西湖,吴家山,金山大道889号,9196,74,低层
房源采光好，南北通透，业主诚意出,3,1,1,94.56,南北,2000,龙城汇萃园,黄陂,盘龙城,腾龙大道,7431,70,高层
新南湖二环边精准三房诚心出售,3,2,1,102.22,南北,2011,金地西岸故事,洪山,珞狮南路,珞狮路254号,14548,148,低层
联投金色港湾 边户边户大2房婚房装修 看房有钥匙,2,2,1,81.33,南北,2017,联投金色港湾,沌口开发区,江汉大学,博学路6号,12501,102,高层
房源采光好，南北通透，业主诚意出售,3,1,1,88.38,南北,2006,香缇美景,江汉,常青,江大路6号,10756,95,高层
正南 3室2厅 精装修,3,2,1,103.94,南,2021,汇悦天地(三期),江岸,后湖,和谐大道596号,14475,150,高层
低价房源，邻地铁，奥莱旁，盘龙湾荷苑毛坯两居室,2,2,1,86.04,南,2016,恒达盘龙湾荷苑,黄陂,盘龙城,盘龙大道48号,6918,60,中层
南北通透 3室2厅 企业力荐好房诚意出售,3,2,1,114.13,南北,2015,清江锦城沁园,洪山,白沙洲,白沙园路59号,12240,140,中层
正南 3室2厅 企业力荐好房诚意出售,3,2,2,104.63,南,2016,玉带家园,硚口,武胜路,京汉大道370-374号,15643,164,低层
江汉大学旁 地铁口 115万买湖景毛坯大三房 超高性价比,3,2,2,124.11,南北,2005,江大园,沌口开发区,江汉大学,博学路1号,6994,87,高层
格局改成3房，自住装修，干净透亮，阳台大,3,2,1,93.59,南,2009,光谷坐标城,洪山,光谷软件园,关山大道519号,21021,197,中层
盛世东方大面积两房户型好 阳台大老证唯一精装修,2,2,1,99.59,南,2013,盛世东方,江岸,后湖,兴业路192号,14775,147,低层
万科汉阳国际  138平大三房  南北通透,3,2,2,138.31,南北,2015,万科汉阳国际B区,汉阳,王家湾,康达街10号,13149,182,低层
正南 2室2厅 企业力荐好房诚意出售,2,2,1,81.34,南,2016,大华铂金郦府,青山,余家头,旅大街21号,14736,120,低层
央企军工品质 好楼层 业主诚信出售 有钥匙随时看房    ，,3,2,2,117.55,南北,2020,保利新武昌,洪山,白沙洲,张家湾路8号,13783,162,高层
双轨交汇处，单价13500丹亭懿府，满二税少，周边商圈成熟,3,2,1,93.37,南,2020,丹亭懿府,江岸,百步亭,百步亭路10号,12395,116,低层
宗关二环内中建御景星城，好房好价，满两年，随时看，诚心卖,2,2,1,91.9,南北,2016,中建御景星城(景园),硚口,宗关,汉西路,16640,153,中层
正南 3室2厅 企业力荐好房诚意出售,3,2,2,115.11,南,2017,中国铁建梧桐苑,江夏,金融港,民族大道324号,15655,180,低层
急售，钥匙在手，宝安花园中间楼层，带暖气，,3,2,1,105.68,南北,2002,宝安花园,武昌,南湖花园,恒安路77号,20728,219,中层
汉口北轻轨旁 金寓 电梯房 61平 楼层好 视野无遮挡,2,2,1,61.84,南北,2014,金寓,黄陂,汉口北,汉口北大道16号,2941,18,中层
正南 3室2厅 企业力荐好房诚意出售,3,2,2,101.33,南,2007,新域柠檬特区,洪山,光谷广场,卓刀泉路410号,13868,141,高层
万科金色城市17地块 南北通透随时看房 带储物间 看房方便,2,2,1,87.12,南北,2013,万科金色城市17地块,洪山,白沙洲,江州路,12809,112,高层
巨龙大道双地铁口，精装四房，送20平入户花园，证满五,4,2,2,154.1,南北,2012,珩生领袖城,黄陂,盘龙城,盘龙大道,5472,84,低层
南北通透 101平 满二 电梯房 星河2049 楼层好 视野,3,2,2,101.85,南北,2020,星河2049,江岸,百步亭,温馨路,13148,134,高层
正南 3室2厅 企业力荐好房诚意出售,3,2,2,116.02,南,2000,常青花园四区,东西湖,常青花园,学府北路65号,12468,145,低层
电梯房 满二 99平 3室2厅 楼层好 视野无遮挡,3,2,1,99.14,南北,2018,保利上城东区,洪山,白沙洲,烽胜路20号,12673,126,高层
保利花园(东区) 2室2厅 南北通透 84平 楼层好 视野无,2,2,1,84.95,南北,2004,保利花园(东区),洪山,关山,光谷大道219号,14499,123,高层
正南 2室2厅 企业力荐好房诚意出售,2,2,1,84.55,南,2012,歌林花园,黄陂,盘龙城,巨龙大道159号,7333,62,高层
武昌府二期，毛坯四房，南北通透，晒场采光,4,2,2,136.77,南北,2014,武昌府二期和郡,洪山,新南湖,文治街30号,16197,222,高层
满二 1室1厅 精装修 万科金色城市16地块 南北通透 房东,1,1,1,41.48,南北,2015,万科金色城市16地块,洪山,白沙洲,白沙五路,5580,23,中层
华发外滩   南北通透 满二 楼层好 视野无遮挡 有钥匙,3,2,2,96.05,南北,2020,华发外滩首府,江岸,二七路,永泰路,39588,380,低层
保利茉莉公馆 2室2厅 预约看房,2,2,1,71.99,南,2015,保利茉莉公馆,洪山,光谷广场,高新大道197号,20668,149,低层
白沙洲 东原启城 不靠近三环线 配合满二 诚心出售 随时看房,3,2,1,94.79,南北,2020,东原启城(三四期),洪山,白沙洲,烽胜路,13342,126,中层
满二唯一 正南 3室2厅 精装修,3,2,2,127.84,南,2014,三和光谷道,江夏,藏龙岛,光谷大道8号,10863,139,高层
古田三路轻轨旁的花园小区，电梯小高层一梯两户，南北通透采光好,3,2,2,129.63,南北,2006,东方花城,硚口,古田,古田路67号,11287,146,中层
155可以卖 王家湾中央生活区 106平 南北通透 采光好,3,2,1,106.5,南北,2017,王家湾中央生活区,汉阳,王家湾,汉阳大道,12807,136,高层
湖  学旁长鑫家园捡漏精装两房,2,2,1,93.59,东南,2013,长鑫家园,武昌,徐东,秦简街12号,14838,139,低层
两次降价5万急售 全新装修未入住 带暖气大两房 满五,2,2,1,84.25,南北,2016,万科城花璟苑,洪山,光谷软件园,关南园路,20604,174,低层
