标题,室数,厅数,卫数,面积,朝向,建造时间,小区,行政区,街道,门牌号,单价,总价,楼层所属区域
正南 3室2厅 精装修,3,2,2,109.8,南,2021,龙湖春江彼岸,汉阳,建港,两湖路3号,17692,194,高层
送60万精装个车位 缺钱急售老证满五唯一 龙阳一号墨水湖公园,3,2,2,137.6,南北,2016,龙阳1号,汉阳,王家湾,芳草路88号,14899,205,高层
智苑小区 毛坯三房 90平仅需75个W 毛坯中的战斗机 急售,3,2,1,90.51,南,2018,智苑小区,洪山,光谷东,流港路100号,6850,62,高层
越秀开发  朝南经典户型  老证税少  地铁8号线,2,2,1,91.1,南北,2016,越秀星汇君泊一二期,江岸,后湖,塔子湖东路18号,15244,139,低层
万科品质 精装2房，老证 拎包入住 性价比高,2,2,1,64.69,南,2015,万科金域蓝湾,沌口开发区,江汉大学,三角湖路8号,14312,93,高层
正南 3室2厅 精装修,3,2,1,93.3,南,2017,中国铁建梧桐苑,江夏,金融港,民族大道324号,15593,145,中层
85平85万急售 罗家墩新寓 精装好两房 南北通透 拎包入住,2,2,1,84.97,南北,2006,罗家墩新寓,硚口,古田,沿河大道629号,8269,70,低层
泛悦城 141.44平 带精装三房，楼栋视野非常好,3,2,2,141.44,南北,2019,泛悦城,洪山,关山,关山大道,23085,327,高层
盛世江城前排，业主自住豪华装修 家具家电全送 价格可谈,2,2,1,87.48,南,2019,中国水电盛世江城,江汉,杨汊湖,新湾路9号,19371,169,高层
经典中建开元公馆3室2厅2卫1阳台！精装修！两证齐全！,3,2,2,107.51,南北,2014,中建开元公馆,青山,建设二路,建设二路11号,19376,208,低层
10W上车 三环内万科精装三居室 双阳台内北通透 满二少税随,3,2,1,90.15,南北,2014,万科金色城市23地块,洪山,白沙洲,长征二路,11004,99,低层
精装修 电梯房 满二唯一住房 102平 南北通透 看房方便,2,2,1,102.22,南北,2019,丽水康城,硚口,古田,沿河大道438号,12130,124,高层
坐标城，南北精装二室，中间楼层 ，看房有钥匙,2,2,1,92.62,南北,2009,光谷坐标城,洪山,光谷软件园,关山大道519号,18296,169,中层
地铁7号线，常青树旁边，奥特莱斯商圈，南北通透双阳台可观湖！,3,2,1,109.25,南,2016,恒达盘龙湾荷苑,黄陂,盘龙城,盘龙大道48号,6962,76,中层
3号线地铁口 龙阳1号 首付23万买两室 精装 老证,2,1,1,67.36,南北,2015,龙阳1号,汉阳,王家湾,芳草路88号,14113,95,低层
锦绣汉江1区 93平2室仅售108万，南北通透 电梯房,2,2,1,93.84,南北,2019,锦绣汉江1区,汉阳,郭茨口,琴台大道,9513,89,中层
洪山区102平 金地西岸故事 精装修 采光好 周边商圈成熟,3,2,1,102.19,南北,2011,金地西岸故事,洪山,珞狮南路,珞狮路254号,14156,145,低层
正南 3室2厅 精装修,3,2,1,87.39,南,2012,东方雅园(一期),洪山,欢乐谷,智和路108号,10689,93,高层
保利公园九里小三房，不临铁路不临高架，小区中间安静,3,2,1,94.23,南北,2011,保利公园九里(1-4期),洪山,新南湖,南湖小路9号,15176,143,中层
新上 硚口法院旁 广电兰亭 三开间朝南 精装3房 老证,3,2,1,96.57,南北,2017,广电兰亭荣荟雅园(8-9栋),硚口,硚口周边,古田四路197号,12412,120,低层
东方城 精装修三房 可看江 证满 业主诚心出售 急需换置,3,2,2,96.95,南北,2019,百隆东方城,黄陂,武湖,汉施公路,7077,69,中层
瑞园住宅小区93平精装2室2厅1卫,2,2,1,93,南北,2016,瑞园住宅小区,汉阳,钟家村,五龙路,10489,98,中层
四新广电兰亭时代，经典三房，精装全配，不靠三环高架。,3,2,1,90.54,南,2015,广电兰亭时代(1期),汉阳,四新,四新南路,12782,116,高层
新上房源！捡漏满二！价可谈有钥匙精装全新三房中高层无遮挡,3,2,1,89.66,南北,2016,保利清能西海岸(北区),江夏,藏龙岛,杨桥湖大道22号,10603,95,中层
必卖好房推荐广电兰亭时代新出老证精装修南北双阳台好房型好楼层,3,2,2,93.85,南,2018,广电兰亭时代(1期),汉阳,四新,四新南路,13300,125,高层
南北通透 3室2厅 企业力荐好房诚意出售,3,2,2,118.19,南北,2012,保利华都,洪山,卓刀泉,虎泉街299号,22240,263,高层
正南 2室1厅 精装修,2,1,1,77.54,南,2017,恒大龙城(二期),黄陂,盘龙城,航城东路19号,7036,55,低层
日月华庭 满五   精装带暖气 电梯房 房东急售,2,2,1,103.65,南,2008,日月华庭,江汉,唐家墩,新华路728号,13398,139,中层
捡漏好房 居家精装修 111平 3室2厅 南北通透 急售,3,2,1,111.13,南北,2016,清江锦城玺园,洪山,白沙洲,烽胜路55号,12273,136,低层
中央公馆四期两房精装修央企品质 近地铁保养好拎包入住随时看,2,2,1,74.55,南北,2016,保利中央公馆(G17-G22栋),洪山,新南湖,平安路5号,16410,122,低层
满二，豪 华装修，8326平复式楼，3房2卫，采光好,3,2,2,83.25,南,2017,东原湖光里,洪山,白沙洲,黄家湖大道501号,14100,117,低层
次新房轻轨旁电梯高层非顶楼挂头户型全明通透两梯四户重新精装,3,2,2,115.44,南北,2019,幸福湾星澜,江岸,百步亭,解放大道2901号,13319,154,高层
汉阳钟家村 远洋东方境世界观 173平 382万 精装四房,4,2,2,173.02,南北,2021,远洋东方境世界观8号地块,汉阳,钟家村,归元寺南路1号,18251,316,高层
满五唯一 正南 3室2厅 精装修,3,2,2,106.04,南,2007,保利心语(二期),洪山,新南湖,野芷湖西路3号,13782,145,低层
正南 3室2厅 精装修,3,2,2,114.98,南,2017,保利圆梦城(二区),新洲,阳逻开发区,圆梦南路,5464,63,低层
南北通透 3室2厅 企业力荐好房诚意出售,3,2,2,124.65,南北,2020,招商一江璟城(北区),青山,红钢城,建设六路5号,16115,201,低层
三环 一线湖景 毛坯3房 东边户 南北通透 采光无敌,3,2,2,125.89,南北,2020,楚天都市沁园,洪山,白沙洲,双沁二路1号,9850,124,中层
一梯两户 旁芳草和二桥    到3号线地铁 楼下公园安静舒适,2,2,1,83.93,南,2011,南国明珠(三期),汉阳,王家湾,龙珠路,15758,132,高层
美加湖滨新城 价格可以沟通 10万内搞定所有大三房,3,2,2,123.28,南北,2006,美加湖滨新城,江夏,庙山,江夏大道49号,5699,70,低层
南北通透 3室2厅 企业力荐好房诚意出售,3,2,1,123.11,南北,2001,尖东智能花园,洪山,光谷广场,民族大道12号,14100,174,低层
东原阅境 109平130w 单价1w2不到 你还犹豫什么,3,2,2,109.31,南北,2021,东原阅境,东西湖,吴家山,三店西路19号,10285,112,低层
两房送一房  温馨三房 产证满二 中高楼层 采光极好,3,2,1,84.81,南北,2011,保利心语(三期),洪山,新南湖,野芷湖西路3号,13646,116,高层
正南 3室2厅 精装修,3,2,1,94.52,南,2016,碧桂园生态城左岸,洪山,光谷东,夏芒路28号,12069,114,中层
正南 3室2厅 精装修,3,2,3,157.54,南,2000,世茂龙湾(三期别墅),沌口开发区,天鹅湖大道,知音湖大道,11176,176,共1
中一路地铁口，精装南北通透三房，送一间房面积，客厅带阳台,3,2,1,79.36,南,2015,三元中央公园,江岸,后湖,后湖大道66号,15312,122,中层
南北通透 3室2厅 精装修,3,2,1,111.82,南北,1997,卓刀泉教师小区,洪山,卓刀泉,卓刀泉路99号,12937,145,高层
正南 3室2厅 精装修,3,2,1,91.39,南,2017,新力帝泊湾,黄陂,盘龙城,兴龙路,7869,72,高层
南北通透 3室2厅 精装修,3,2,2,95.05,南北,2022,美好长江首玺K3地块,洪山,白沙洲,丽水路6号,10262,98,低层
鑫城宜居 南北通透 满二 电梯房 房东急置换 诚意买房,3,2,1,89.83,南北,2016,鑫城宜居,东西湖,吴家山,东吴大道88号,8282,74,中层
江北快速路口 轻轨旁 65W精装修 好楼层三房,3,2,1,97.72,南,2016,阳光新港中央花园城,新洲,阳逻开发区,余泊南路,5499,54,中层
正地铁口单价8千 精装三房两卫 双阳台 证满无贷款房东急卖,3,2,2,127.76,南,2012,歌林花园,黄陂,盘龙城,巨龙大道159号,6988,89,低层
武胜路地铁口 精装3房2厅2卫带阳台 满五 朝南 配套成熟,3,2,2,117.93,南,2003,江山如画(5期),硚口,崇仁路,江中路71号,19486,230,高层
正南 3室2厅 企业力荐好房诚意出售,3,2,1,105.91,南,1998,双塘小区,洪山,光谷广场,虎泉街,13503,143,中层
带露台，阳光房！金色雅园二期，红领巾豪装3房，低楼层出售！,3,2,2,129.9,南,2003,金色雅园金沙苑,江汉,常青,新湾二路16号,18454,240,低层
一线江景房 精装修  配套齐全 楼下就是华师附小，环境好,3,2,1,92.18,南北,2015,万科金色城市20地块,洪山,白沙洲,武金堤路,13003,120,中层
南北通透 3室2厅 企业力荐好房诚意出售,3,2,2,118.77,南北,2016,恒达盘龙湾荷苑,黄陂,盘龙城,盘龙大道48号,6960,83,低层
满五唯一住房 精装修 2室1厅 南北通透 看房方便 有钥匙,2,2,1,89.29,南北,2005,华星花园,东西湖,吴家山,革新大道1020号,7406,66,高层
（急售，老证！）百步亭中心位置，百步亭幸福时代，三房钥匙房源,3,2,1,95.18,南,2017,幸福时代(三期),江岸,百步亭,新益街135号,15285,145,高层
电梯入户 精装交付 老证看江 诚意出售,4,2,2,145.79,南,2020,城开云悦邸,江岸,百步亭,后湖大道,16443,240,中层
107平 和美社区 3室2厅 南北通透 看房方便 有钥匙,3,2,1,107.78,南北,1995,和美社区,江岸,台北香港路,台北路147号,12272,132,中层
光谷广场地铁口 华乐山庄  三楼  朝南两房 鲁小卓中 急售,2,2,1,79.11,南北,2000,华乐山庄,洪山,鲁巷,珞喻路716号,12435,98,中层
正南 3室2厅 精装修,3,2,2,101.44,南,2019,龙庭华府,蔡甸,蔡甸城区,汉江大道,5704,58,高层
单身小姐姐得小资生活从这套复试公寓开始，38万就能拥有,1,1,1,31.51,北,2020,华宇旭辉星空,江岸,后湖,后湖大道116号,9969,31,低层
正南 3室2厅 精装修,3,2,2,111.71,南,2021,东原启城(三四期),洪山,白沙洲,烽胜路,12579,141,低层
小高层可看湖，黄金楼层，诚心出售,3,2,1,86.7,南北,2018,人信汇天誉,汉阳,王家湾,龙阳大道62号,15665,136,中层
凯德旁 金地悦江时代 次新小区 中高楼层 精装三房 老证税少,3,2,2,111.96,南北,2018,金地悦江时代芸湾区,硚口,古田,田文街10号,12256,137,高层
正南 3室1厅 企业力荐好房诚意出售,3,1,1,88.9,南,2016,楚天都市雅园,武昌,中北路,中北路230号,21386,190,中层
新上不临街 中城悦城二期 精装未住三居室 中间层 价格臻屎,3,2,1,96.58,南,2020,中城悦城(二期),江汉,王家墩CBD,发展大道68号,20456,198,中层
高车地铁口 南德长江城 满二精装3房 采光好出行方便诚心出售,3,2,2,96.64,南北,2022,南德长江城,黄陂,武湖,梅教街,7698,74,低层
3室2厅 豪华装修 企业力荐好房诚意出售,3,2,1,89.06,东北,2016,百步亭金桥汇(二期),江岸,后湖,华隆路79号,15779,141,中层
人信汇四期天誉房子南北通透，是老证，3房2卫送车位,3,2,2,114.97,南,2018,人信汇天誉,汉阳,王家湾,龙阳大道62号,14308,164,低层
金地自在城旁 次新小区 正地铁口！,3,2,1,92.1,南北,2017,福星惠誉仁和公馆,洪山,欢乐谷,仁和路205号,11219,103,低层
捡漏地铁房，二次精装三房，非常诚心出售，随时签约,3,2,2,102.66,南北,2019,保利新武昌,洪山,白沙洲,张家湾路8号,16104,165,高层
二环内蔡家田 博雅旁阳光三房 低楼层婚房精装 立买即入住,3,2,2,84.54,南北,1998,蔡家田B区望才里社区,江岸,竹叶山花桥,望才里1-15号,13493,114,中层
唐樾稀有朝南小户型 婚房装修 老证带车位,3,2,1,86,南,2018,万科汉口传奇唐樾,江汉,汉口火车站,新华路758号,22107,190,高层
满二（有钥匙）可随时看房子业主诚心卖清江锦城三期双天街双地铁,3,2,1,105.12,南北,2019,清能清江锦城(三期),洪山,白沙洲,白沙四路62号,12975,136,中层
满五唯一 南北通透 3室2厅 精装修,3,2,2,114.34,南北,2013,大华铂金华府,青山,余家头,园林路25号,17712,203,低层
保利花园毛坯两房 中间楼层满二 南北通透 采光好公摊低,2,2,1,84.98,南北,2006,保利花园(东区),洪山,关山,光谷大道219号,17509,149,高层
古田二路轻轨 凯德旁 一线江景大三房 0遮挡 采光刺眼,3,2,2,102.33,南北,2017,江山樾,硚口,古田,沿河大道626号,12521,128,中层
正南 3室2厅 企业力荐好房诚意出售,3,2,2,120.94,南,2012,湘龙鑫城,洪山,白沙洲,白沙洲大道,7040,85,高层
天元世纪花城   知音站 吾悦旁   毛坯证满  中间楼层,2,2,1,102.47,南,2019,天元四季花城,蔡甸,蔡甸城区,汉阳大道,5324,55,中层
园林路双地铁 下楼就是公园 证已办可贷款 低公摊 得房率高,3,2,2,109.02,南,2019,东湖雅庭,洪山,欢乐谷,仁和路,10995,120,中层
精装修 3室2厅 电梯房 125平 东原启城(二期) 看房方,3,2,2,125.47,南北,2019,东原启城(二期),洪山,白沙洲,烽胜路,13770,173,高层
古田四路轻轨 联发九都府 精装通透三房双阳台 老证少有的户型,3,2,2,134.7,南北,2013,联发九都府,硚口,古田,解放大道237号,15035,203,低层
地铁12号线！老证！广电二期！看房方便！诚心出售！,3,2,2,111.61,南,2016,广电兰亭时代(2期),汉阳,四新,梅林七街,11480,128,高层
满五   正南 4室2厅 精装修,4,2,2,130.28,南,2014,F学府(A区),黄陂,盘龙城,腾龙大道88号,6091,79,中层
位置，小区正中央，中间楼层，采光非常好，业主诚心卖房！！,3,2,1,95.9,南,2017,幸福湾星澜,江岸,百步亭,解放大道2901号,12930,124,中层
名湖豪庭 必卖好房 精装修满五唯一 诚心出售随时可看,3,2,1,106.4,东南,2015,名湖豪庭,洪山,光谷软件园,华师园路9号,13984,149,中层
家电家具齐全 有暖气片 拎包入住,3,2,1,87.99,南,2013,万科汉阳国际A区,汉阳,王家湾,康达街18号,14561,128,中层
170可卖 保利香槟国际 中间楼栋 电梯中层 随时看,3,2,1,90.64,南北,2013,保利香槟国际,硚口,宗关,汉西一路49号,16498,149,中层
坐标城 精装二室 小区性价比,2,2,1,93.5,南,2005,光谷坐标城,洪山,光谷软件园,关山大道519号,18301,171,高层
正南 4室2厅 企业力荐好房诚意出售,4,2,2,115.69,南,2018,清能清江锦城(三期),洪山,白沙洲,白沙四路62号,13576,157,高层
正南 3室2厅 精装修,3,2,2,108.19,南,2015,东原乐见城(K2地块),洪山,白沙洲,南李路105号,13371,145,高层
长江新区 精装修电梯房 南北通透 楼层好 周边商圈成熟,2,2,1,85,南北,2018,百隆东方城,黄陂,武湖,汉施公路,5835,50,中层
2室2厅，精装修，伶包入住，预约看房,2,2,1,100.9,南北,2010,当代国际花园,江夏,东湖高新,光谷大道112号,18842,190,高层
地铁口（保利新武昌旁） 满二  保利上城 南北通透,3,2,2,117.6,南北,2018,保利上城西区,洪山,白沙洲,峰胜路20号,13917,164,高层
必看好房小高层公摊少房子保养很好到手直接住随时看,3,2,1,90.83,南北,2017,人信汇(二期),汉阳,王家湾,龙阳大道60号,14743,134,高层
三金华都 次新小区 正规复式 三房两卫 住宅带天然 随时看房,3,2,2,86.3,南,2011,三金华都,江汉,新华路,新华路738号,15805,136,高层
正南 2室2厅 精装修,2,2,1,89.06,南,2017,九坤翰林苑,蔡甸,蔡甸城区,蔡甸大街186号,6479,57,高层
正南 3室2厅 精装修,3,2,1,122.85,南,2017,东沙花园(南区),洪山,铁机路,欢乐大道,11372,140,低层
3室2厅 电梯房 南国明珠(一期) 精装修 南北通透 居家自,3,2,2,131.34,南北,2006,南国明珠(一期),汉阳,王家湾,龙阳大道33号,12084,159,低层
正南 3室2厅 企业力荐好房诚意出售,3,2,2,103.09,南,2018,世茂云锦樱海园,洪山,白沙洲,白沙三路36号,13070,135,低层
送!送!送!房东只拎衣服走，家电家具全部送！,3,2,1,95.7,南北,2013,招商雍华府,洪山,新南湖,文馨街5号,18139,174,低层
奥莱旁，地铁400米，盘龙湾全南户型，中层采光好,2,2,1,86.04,南,2016,恒达盘龙湾荷苑,黄陂,盘龙城,盘龙大道48号,6918,60,中层
武汉天地二期，豪装花园洋房，3室2厅2卫，老证，诚心出售,3,2,2,137.54,南北,2012,武汉天地御江苑,江岸,永清街,永安路6号,51085,703,高层
必看好房 不靠三环 低于同户型价格 年前精装 大兴路慧泉一初,3,2,1,95.67,南,2019,中国水电盛世江城,江汉,杨汊湖,新湾路9号,19872,190,高层
满五唯一朝南  精装修  89平 158万 白沙洲核心地铁口,3,2,1,89.35,南北,2017,佳兆业金域天下(二期),洪山,白沙洲,烽胜路36号,14340,128,低层
正南 3室2厅 精装修,3,2,1,99.74,南,2010,金地中心城(西区),洪山,关西,雄楚大道908号,14089,141,高层
正南 2室2厅 企业力荐好房诚意出售,2,2,1,88.31,南,2007,馨都雅园,武昌,杨园,和平大道751号,15445,136,高层
南北通透 刚需两房 地铁口 低密度 低总价 小高层 急售！,2,2,1,91.58,南北,2011,汉口花园幽兰居,江岸,后湖,秋桂街19号,12817,117,中层
白沙六路地铁口，中高楼层，次新房，看房方便,2,2,1,81.06,南北,2020,胜利丰园,洪山,白沙洲,烽胜路88号,9076,74,高层
满二   正南 2室1厅 精装修,2,1,1,84.41,南,2010,奥莱之星城市广场,黄陂,盘龙城,盘龙大道49号,8422,71,中层
摩尔城旁  王家湾产商圈 三号线四号线 配套成熟 环境好,3,2,2,123.35,南北,2018,人信汇天誉,汉阳,王家湾,龙阳大道62号,14073,174,中层
市民之家旁 房东急卖 经发龙湖云峰精装三房 次新小区 楼层好,3,2,1,96.37,南北,2023,经发龙湖雲峰原著,江夏,江夏周边,北华街16号,10551,102,低层
开发商装修海尔国际91平143万精装2室南北通透拎包入住,2,2,1,91.49,南北,2018,海尔国际广场,硚口,古田,古田二路98号,12559,115,高层
南北通透 3室2厅 精装修,3,2,1,94.01,南北,2009,南湖名都A区,洪山,新南湖,丁字桥南路556号,15827,149,中层
徐东大街 地铁4号线 8号线 铁机路地铁口东沙花园,3,2,1,122.18,南北,2017,东沙花园(南区),洪山,铁机路,欢乐大道,11434,140,高层
正南 2室2厅 精装修,2,2,1,93.09,南,2012,武汉天地御江苑,江岸,永清街,永安路6号,47506,442,高层
新出 现代城四区   大三室（必看好房）紧邻永旺超市 双地铁,3,2,1,114.11,南,2008,百步亭现代城四区,江岸,百步亭,百花一路38号,19559,223,低层
汉阳主城区，黄金口地铁站，总高六楼的小高层洋房，58团购折扣,3,2,2,118,南,2014,天创黄金时代,汉阳,黄金口,地铁4号线黄金口站B出口东行约500米,9107,107,高层
总价130多万买汉阳二环央企开发正地铁口精装现房120边户,3,2,2,123,南,2014,保利星河九洲,汉阳,升官渡,永安堂地铁站旁100米,11761,145,高层
左岭地铁口硅谷小镇先仅11500最后五套,3,2,2,107,南北,2014,伟鹏硅谷小镇一期,洪山,光谷东,未来三路和科技三路交汇处,11124,119,高层
地铁口70年别墅  送地下室花园  金地品质 得房率高,4,2,3,137,南北,2014,金地国际城,汉阳,黄金口,黄金口地铁站A出口西行200米处,9050,124,高层
汉阳  2环 一线临江 准现房 总价140万,2,2,1,82.29,南,2014,新港临江汇,汉阳,建港,晴川大道与芳洲路交汇处,14867,122,高层
七里庙地铁口南北通通 户型明厨明卫准现房,3,2,2,106,南,2014,尚城国际,汉阳,五里墩,七里庙地铁站b出口，汉阳大道580号,13647,145,高层
古田唯一自带幼儿园小学中学高端改善刚需精装现房,3,2,2,108,南北,2014,绿城华生桂语朝阳(新房),硚口,古田,园博大道与古田一路交汇处,13624,147,高层
光谷主城区  地铁口  准现房,3,2,2,117.74,南北,2014,伟鹏硅谷小镇一期,洪山,光谷东,未来三路和科技三路交汇处,11093,131,高层
联投悦西湖湖景三大三房 格局创新 低公摊高使用,3,2,2,100,南,2014,联投悦西湖,洪山,光谷东,花山春和路白石美术馆旁50米,13804,138,高层
徐东内环刚需小两室 央企保利开发 年底交房,2,2,1,75,南北,2014,保利城七期云廷,洪山,铁机路,北洋桥西路与铁机东路交汇处,16532,124,高层
华发以国企实力，兑现有保障,3,2,2,101,南,2014,华发都荟天地,硚口,古田,古田二路轻轨站旁100米,15714,159,高层
招商未来中心 地铁口 国企开发 均价1.5 专业配盘 包接送,3,2,2,100,南,2014,招商·武汉城建未来中心,沌口开发区,体育中心,沌阳大道与体育路交汇处（协和医院西院对面）,14466,145,高层
东湖边 央企核心C位 天花板级别大盘   新房侨城欢乐天际,3,2,2,122,南北,2014,华侨城欢乐天际(新房),青山,余家头,团结大道地铁4号线工业四路站B出口（华侨城杉·艺术空间）,15245,186,高层
三环内王炸楼盘单价14000中字头央企开发,3,2,1,99,南北,2014,中国铁建·花语天著,江岸,百步亭,新区大道与游湖二路交汇处,12274,122,高层
汉阳中心片区 精装入住 交房又保障,3,2,2,110,南,2014,王家湾中央生活区湾玺,汉阳,升官渡,汉阳大道与玉龙路交汇处,15705,173,高层
新房首发 多面积 多价格 多楼层 多户型随便选 免费看房,3,2,2,108.35,南北,2014,方岛金茂智慧科学城(新房),汉阳,升官渡,芳草路与四新大道交叉口,15716,170,高层
国博新城 95110平三房出售小高层公摊17,3,2,2,95,南北,2014,城投融创国博城,汉阳,四新,四新南路与鄂渚路交汇处,13661,130,高层
汉口二环一号线轻轨口千禧城旁国企现房单价1.3送车位20上车,2,2,1,86,南北,2014,武汉城建汉樾台,硚口,古田,古田四路与长安路交叉口西侧（湖北警官学院北区旁）,13937,120,高层
三室两厅两卫，全屋精装修，万科大牌,3,2,2,102,南北,2014,万科华生公园大道(新房),硚口,古田,园博大道(蓝光林肯公园西侧约100米),13696,140,高层
超大阳台 全房明亮 开发商直降 性价比高,3,2,2,120,南北,2014,龙湖揽境,硚口,古田,长丰大道与古田二路交汇处,12399,149,高层
汉阳三环内双地铁单价14500精装交付准现房,3,2,2,98,南,2014,禹洲新希望雍禧兰台(新房),汉阳,四新,四新南路与新华园二路交汇处,12399,122,高层
单价1万3起步主城区准现房,3,2,2,113,南北,2014,龙湖揽境,硚口,古田,长丰大道与古田二路交汇处,12436,141,高层
四新地铁口国企毛坯准现房 新房团购价,3,2,2,105,南北,2014,海格公馆(新房),汉阳,四新,四新中路与四新南路交汇处,14170,149,高层
汉阳琴台大道江景住宅 3室2厅2卫 102m 约199万,3,2,2,102,南,2014,新世界汉江·云赫,硚口,古田,知音大道588号,16127,164,高层
旭辉大盘 老汉阳政务中心旁 墨水湖一线湖景,3,2,2,115,南北,2014,钰龙旭辉半岛·和岸,汉阳,七里庙,麒麟路与百灵路交汇处,15742,181,高层
神盘大嫂送大哥马尔代夫的豪装楼下就是摩尔城看湖,3,2,2,125,南,2014,中国铁建花语汀澜,汉阳,王家湾,玉龙路与墨水湖北路交汇处,15276,191,高层
下楼地铁口 绿道另外可以上于武昌区第一梯队,3,2,2,111,南北,2014,东湖ONE,洪山,欢乐谷,团结大道1068号（园林路E出口/金地广场对面）,17798,198,高层
三环边主城区单价9XXX，正地铁口 国企开发 配套齐全,4,2,2,128,南,2014,天创黄金时代,汉阳,黄金口,地铁4号线黄金口站B出口东行约500米,8396,107,高层
总价110W 高层价格买别墅 送花园送地下室 送车位,2,2,2,123,南北,2014,中粮祥云地铁小镇(新房),蔡甸,蔡甸周边,蔡甸大街与西环路交汇处（地铁四号线新庙村站A出口）,10081,124,高层
保利庭瑞阅江台滨江新品     3室2厅2卫 130m,3,2,2,130,南,2014,保利庭瑞阅江台·滨江新品,硚口,古田,琴台大道与玉龙路交汇处,16532,215,高层
